Original_Frame_Index,Frame Index,Crystallite_Domain_Size_nm,Peak_Center_q_A_inv,Measured_FWHM_q_A_inv
68,67,31.85042534386945,0.9507948381050283,0.01800612051380445
69,68,35.7425041782287,0.9507532423550216,0.016103044482896914
70,69,37.71138794006399,0.9510367679996743,0.015292270479895153
71,70,40.009978067676485,0.9510752236073354,0.014448522964085268
72,71,40.78344828588634,0.9512403650086795,0.014186425109766922
73,72,42.03445465444552,0.9511157859573206,0.013783373702139144
74,73,42.52454354675798,0.951036094280175,0.013632089457595697
75,74,44.30500458501868,0.951071836523042,0.013111322936499187
76,75,46.51575145661363,0.9508885916250505,0.012521576257864611
77,76,46.8371144453775,0.9503574546929467,0.012440609768625157
78,77,47.804764813613964,0.949879912869065,0.012203576414552207
79,78,48.97900096440134,0.9498827135146516,0.011928888969582106
80,79,48.44150109546715,0.9497829751458006,0.012052921750421797
81,80,49.42714762876791,0.9496497019066736,0.011827601918825944
82,81,47.328389809972236,0.9495573061656,0.012319020934249325
83,82,49.12935461083013,0.9492105093701778,0.011894694516126847
84,83,49.0855849381461,0.9492213214779813,0.01190462661374882
85,84,50.0907502605736,0.9488412024565297,0.011681053856074923
86,85,50.934657474748285,0.9487528582489161,0.011500383100582516
87,86,49.91358330808866,0.9487748110619584,0.011719785175307027
88,87,49.572440548347416,0.9485626069341394,0.011795169447021333
89,88,50.32593385104103,0.948460083601288,0.011630074353079878
90,89,53.330166688033366,0.948334991260361,0.011019723849509796
91,90,53.8853553525776,0.9481273614088342,0.010914641310748947
92,91,53.49020005359669,0.9483514911080315,0.010989201624290373
93,92,53.42917129543074,0.9480818349536401,0.01100081891158156
94,93,57.838302048493176,0.9476985548076765,0.01022693841912067
95,94,55.02490998437365,0.947794528058845,0.010705844874102212
96,95,53.14761300216577,0.9478096566962709,0.011054774017558616
97,96,52.58611863303389,0.9478048979533568,0.01116416227284758
98,97,50.77724968716128,0.9477392716508077,0.011533611420345712
99,98,51.95476617451916,0.9477586569492226,0.011290087064041871
100,99,50.91620246068515,0.9477948636942892,0.011504267907135607
101,100,50.891950101151465,0.9478860710177885,0.011509377492959749
102,101,49.22861840116084,0.94790351856123,0.011872237365826925
103,102,49.15107795546159,0.9477509712493724,0.01188977188966093
104,103,49.46412996315014,0.9477432777300978,0.011819328015289305
105,104,49.31857436387251,0.9478243552096084,0.011851966560768203
106,105,50.803207600547076,0.9476065303465117,0.011528117122137825
107,106,48.56883241869658,0.9477535808984112,0.012023283028955636
108,107,49.58056626703613,0.947644637580325,0.011793361407297262
109,108,50.754953985434,0.9476124097410007,0.011538335206736508
110,109,48.97764682518092,0.9477904152315197,0.011929197921357833
111,110,50.81760324423199,0.9476501122271909,0.011525072616013926
112,111,49.59650559310715,0.9475254741515842,0.01178981655175368
113,112,49.36733375922243,0.9478473358512075,0.011841010909630351
114,113,50.124268641315346,0.9477564486215938,0.011673758053841066
115,114,50.350331317083345,0.9475746303341813,0.011624814011274501
116,115,49.01052069579896,0.9474950508891569,0.011921702604646691
117,116,48.785791158577936,0.9475794158979332,0.011973149326654213
118,117,49.957706880168345,0.9474964302058188,0.011710112575995184
119,118,49.610859700151735,0.9475716392740936,0.011786626256267821
120,119,49.59759970025933,0.9473135386778642,0.011789573312065184
121,120,51.548549669144144,0.9473599746585216,0.011372797006059867
122,121,51.26777457346191,0.9476193374761926,0.011430758691899098
123,122,52.16569926504086,0.9474828041945776,0.011247664772543043
124,123,50.964829762739086,0.9474843139598763,0.01149403805741061
125,124,50.600753254507225,0.947455659888587,0.011571123497876727
126,125,52.360386081111926,0.9474525434304442,0.011208823952942662
127,126,51.74205460170591,0.9474600785624258,0.011333229723223093
128,127,54.5439275719782,0.9472601800755072,0.010792868473245957
129,128,52.256773472789256,0.9473037363032657,0.011229457781942282
130,129,56.51015504900564,0.9473262814549434,0.010446834455709543
131,130,55.10105898265457,0.947352113193992,0.010692212051556155
132,131,55.74283854941534,0.947488514694009,0.010578853278539488
