wavelength	counts
247.432	1719.000
248.227	1705.000
249.023	1701.000
249.818	1700.000
250.613	1712.000
251.408	1707.000
252.203	1711.000
252.999	1711.000
253.794	1707.000
254.588	1717.000
255.383	1711.000
256.178	1709.000
256.973	1715.000
257.768	1716.000
258.562	1716.000
259.357	1717.000
260.151	1721.000
260.946	1712.000
261.740	1714.000
262.534	1712.000
263.328	1717.000
264.123	1718.000
264.917	1716.000
265.711	1709.000
266.505	1714.000
267.299	1712.000
268.093	1714.000
268.886	1716.000
269.680	1720.000
270.474	1712.000
271.267	1719.000
272.061	1718.000
272.854	1719.000
273.648	1714.000
274.441	1721.000
275.234	1720.000
276.028	1715.000
276.821	1717.000
277.614	1713.000
278.407	1722.000
279.200	1714.000
279.993	1715.000
280.786	1718.000
281.578	1717.000
282.371	1718.000
283.164	1714.000
283.956	1710.000
284.749	1716.000
285.541	1721.000
286.334	1717.000
287.126	1717.000
287.918	1716.000
288.710	1716.000
289.503	1707.000
290.295	1713.000
291.087	1717.000
291.879	1715.000
292.670	1716.000
293.462	1718.000
294.254	1714.000
295.046	1725.000
295.837	1720.000
296.629	1714.000
297.420	1712.000
298.212	1716.000
299.003	1717.000
299.794	1715.000
300.586	1722.000
301.377	1713.000
302.168	1717.000
302.959	1716.000
303.750	1719.000
304.541	1716.000
305.332	1718.000
306.123	1713.000
306.913	1717.000
307.704	1714.000
308.494	1718.000
309.285	1718.000
310.075	1718.000
310.866	1724.000
311.656	1717.000
312.446	1718.000
313.237	1715.000
314.027	1711.000
314.817	1716.000
315.607	1720.000
316.397	1719.000
317.187	1715.000
317.976	1712.000
318.766	1713.000
319.556	1717.000
320.345	1723.000
321.135	1718.000
321.924	1722.000
322.714	1713.000
323.503	1721.000
324.293	1715.000
325.082	1718.000
325.871	1722.000
326.660	1720.000
327.449	1721.000
328.238	1719.000
329.027	1728.000
329.816	1715.000
330.604	1719.000
331.393	1710.000
332.182	1718.000
332.970	1712.000
333.759	1715.000
334.547	1717.000
335.336	1718.000
336.124	1718.000
336.912	1715.000
337.700	1713.000
338.488	1716.000
339.276	1718.000
340.064	1716.000
340.852	1716.000
341.640	1717.000
342.428	1716.000
343.216	1718.000
344.003	1722.000
344.791	1713.000
345.578	1721.000
346.366	1718.000
347.153	1722.000
347.940	1714.000
348.728	1721.000
349.515	1714.000
350.302	1720.000
351.089	1719.000
351.876	1717.000
352.663	1716.000
353.450	1716.000
354.236	1716.000
355.023	1714.000
355.810	1720.000
356.596	1715.000
357.383	1718.000
358.169	1717.000
358.956	1718.000
359.742	1715.000
360.528	1719.000
361.314	1714.000
362.100	1719.000
362.886	1716.000
363.672	1722.000
364.458	1712.000
365.244	1716.000
366.030	1717.000
366.816	1712.000
367.601	1712.000
368.387	1714.000
369.172	1719.000
369.958	1711.000
370.743	1716.000
371.528	1712.000
372.314	1717.000
373.099	1715.000
373.884	1717.000
374.669	1715.000
375.454	1719.000
376.239	1719.000
377.024	1714.000
377.808	1715.000
378.593	1716.000
379.378	1717.000
380.162	1716.000
380.947	1716.000
381.731	1710.000
382.515	1719.000
383.300	1714.000
384.084	1713.000
384.868	1716.000
385.652	1717.000
386.436	1710.000
387.220	1718.000
388.004	1717.000
388.788	1710.000
389.572	1714.000
390.355	1717.000
391.139	1718.000
391.922	1713.000
392.706	1713.000
393.489	1719.000
394.273	1716.000
395.056	1710.000
395.839	1716.000
396.622	1709.000
397.405	1713.000
398.188	1714.000
398.971	1713.000
399.754	1718.000
400.537	1712.000
401.319	1717.000
402.102	1712.000
402.885	1723.000
403.667	1735.000
404.450	1778.000
405.232	1784.000
406.014	1749.000
406.797	1718.000
407.579	1721.000
408.361	1716.000
409.143	1715.000
409.925	1713.000
410.707	1718.000
411.488	1719.000
412.270	1714.000
413.052	1714.000
413.833	1717.000
414.615	1714.000
415.397	1716.000
416.178	1718.000
416.959	1717.000
417.741	1712.000
418.522	1710.000
419.303	1711.000
420.084	1714.000
420.865	1715.000
421.646	1715.000
422.427	1716.000
423.207	1714.000
423.988	1714.000
424.769	1713.000
425.549	1714.000
426.330	1717.000
427.110	1709.000
427.891	1713.000
428.671	1711.000
429.451	1717.000
430.231	1711.000
431.011	1720.000
431.791	1709.000
432.571	1714.000
433.351	1712.000
434.131	1717.000
434.911	1710.000
435.690	1718.000
436.470	1712.000
437.250	1720.000
438.029	1717.000
438.808	1716.000
439.588	1717.000
440.367	1717.000
441.146	1717.000
441.925	1714.000
442.704	1718.000
443.483	1716.000
444.262	1720.000
445.041	1714.000
445.820	1716.000
446.598	1715.000
447.377	1719.000
448.156	1721.000
448.934	1728.000
449.712	1732.000
450.491	1726.000
451.269	1729.000
452.047	1730.000
452.825	1724.000
453.603	1728.000
454.381	1727.000
455.159	1728.000
455.937	1725.000
456.715	1720.000
457.493	1727.000
458.270	1723.000
459.048	1721.000
459.825	1728.000
460.603	1726.000
461.380	1728.000
462.157	1721.000
462.934	1711.000
463.712	1718.000
464.489	1721.000
465.266	1720.000
466.043	1723.000
466.819	1720.000
467.596	1720.000
468.373	1718.000
469.150	1715.000
469.926	1719.000
470.703	1717.000
471.479	1717.000
472.255	1720.000
473.032	1718.000
473.808	1718.000
474.584	1720.000
475.360	1715.000
476.136	1716.000
476.912	1717.000
477.688	1715.000
478.464	1714.000
479.239	1718.000
480.015	1714.000
480.790	1718.000
481.566	1718.000
482.341	1719.000
483.117	1715.000
483.892	1719.000
484.667	1720.000
485.442	1717.000
486.217	1719.000
486.992	1717.000
487.767	1722.000
488.542	1719.000
489.317	1719.000
490.091	1720.000
490.866	1715.000
491.641	1717.000
492.415	1719.000
493.190	1716.000
493.964	1719.000
494.738	1714.000
495.512	1723.000
496.286	1719.000
497.060	1718.000
497.834	1714.000
498.608	1718.000
499.382	1717.000
500.156	1716.000
500.930	1717.000
501.703	1715.000
502.477	1716.000
503.250	1716.000
504.024	1719.000
504.797	1718.000
505.570	1723.000
506.343	1718.000
507.116	1725.000
507.889	1720.000
508.662	1721.000
509.435	1718.000
510.208	1718.000
510.981	1717.000
511.754	1720.000
512.526	1719.000
513.299	1722.000
514.071	1724.000
514.843	1722.000
515.616	1725.000
516.388	1725.000
517.160	1724.000
517.932	1719.000
518.704	1721.000
519.476	1719.000
520.248	1721.000
521.020	1722.000
521.791	1721.000
522.563	1721.000
523.335	1726.000
524.106	1722.000
524.878	1724.000
525.649	1722.000
526.420	1719.000
527.191	1725.000
527.963	1728.000
528.734	1724.000
529.505	1723.000
530.275	1725.000
531.046	1724.000
531.817	1724.000
532.588	1724.000
533.358	1726.000
534.129	1723.000
534.899	1723.000
535.670	1727.000
536.440	1724.000
537.210	1727.000
537.980	1727.000
538.750	1727.000
539.520	1721.000
540.290	1725.000
541.060	1728.000
541.830	1724.000
542.600	1724.000
543.369	1730.000
544.139	1726.000
544.909	1731.000
545.678	1725.000
546.447	1727.000
547.217	1725.000
547.986	1728.000
548.755	1726.000
549.524	1722.000
550.293	1728.000
551.062	1721.000
551.831	1730.000
552.599	1728.000
553.368	1730.000
554.137	1729.000
554.905	1725.000
555.674	1728.000
556.442	1729.000
557.210	1725.000
557.979	1730.000
558.747	1723.000
559.515	1725.000
560.283	1724.000
561.051	1728.000
561.819	1729.000
562.586	1729.000
563.354	1727.000
564.122	1732.000
564.889	1726.000
565.657	1723.000
566.424	1727.000
567.191	1730.000
567.959	1723.000
568.726	1723.000
569.493	1733.000
570.260	1728.000
571.027	1732.000
571.794	1727.000
572.561	1727.000
573.327	1730.000
574.094	1731.000
574.860	1726.000
575.627	1723.000
576.393	1728.000
577.160	1723.000
577.926	1737.000
578.692	1728.000
579.458	1732.000
580.224	1730.000
580.990	1728.000
581.756	1728.000
582.522	1729.000
583.288	1732.000
584.053	1724.000
584.819	1729.000
585.585	1727.000
586.350	1725.000
587.115	1731.000
587.881	1728.000
588.646	1720.000
589.411	1731.000
590.176	1731.000
590.941	1726.000
591.706	1728.000
592.471	1728.000
593.235	1725.000
594.000	1726.000
594.765	1723.000
595.529	1729.000
596.294	1737.000
597.058	1728.000
597.822	1726.000
598.587	1724.000
599.351	1726.000
600.115	1728.000
600.879	1725.000
601.643	1722.000
602.406	1723.000
603.170	1725.000
603.934	1724.000
604.698	1725.000
605.461	1726.000
606.224	1723.000
606.988	1733.000
607.751	1727.000
608.514	1726.000
609.278	1725.000
610.041	1734.000
610.804	1727.000
611.566	1736.000
612.329	1727.000
613.092	1726.000
613.855	1724.000
614.617	1728.000
615.380	1731.000
616.142	1721.000
616.905	1721.000
617.667	1725.000
618.429	1729.000
619.191	1726.000
619.953	1725.000
620.715	1719.000
621.477	1723.000
622.239	1718.000
623.001	1721.000
623.763	1729.000
624.524	1725.000
625.286	1724.000
626.047	1723.000
626.808	1718.000
627.570	1723.000
628.331	1719.000
629.092	1724.000
629.853	1726.000
630.614	1722.000
631.375	1722.000
632.136	1717.000
632.896	1722.000
633.657	1713.000
634.418	1722.000
635.178	1722.000
635.939	1722.000
636.699	1719.000
637.459	1721.000
638.219	1720.000
638.980	1716.000
639.740	1724.000
640.500	1715.000
641.260	1721.000
642.019	1715.000
642.779	1721.000
643.539	1722.000
644.298	1720.000
645.058	1717.000
645.817	1721.000
646.576	1723.000
647.336	1725.000
648.095	1721.000
648.854	1718.000
649.613	1723.000
650.372	1719.000
651.131	1717.000
651.890	1723.000
652.648	1722.000
653.407	1720.000
654.165	1720.000
654.924	1716.000
655.682	1723.000
656.441	1720.000
657.199	1721.000
657.957	1720.000
658.715	1722.000
659.473	1716.000
660.231	1724.000
660.989	1722.000
661.747	1720.000
662.504	1721.000
663.262	1718.000
664.019	1722.000
664.777	1714.000
665.534	1715.000
666.291	1716.000
667.049	1718.000
667.806	1715.000
668.563	1726.000
669.320	1723.000
670.077	1719.000
670.833	1712.000
671.590	1727.000
672.347	1722.000
673.103	1716.000
673.860	1721.000
674.616	1723.000
675.373	1721.000
676.129	1716.000
676.885	1721.000
677.641	1720.000
678.397	1729.000
679.153	1723.000
679.909	1724.000
680.665	1721.000
681.420	1720.000
682.176	1717.000
682.931	1719.000
683.687	1724.000
684.442	1725.000
685.198	1721.000
685.953	1720.000
686.708	1718.000
687.463	1725.000
688.218	1726.000
688.973	1724.000
689.728	1723.000
690.482	1723.000
691.237	1725.000
691.992	1735.000
692.746	1725.000
693.500	1725.000
694.255	1726.000
695.009	1725.000
695.763	1728.000
696.517	1726.000
697.271	1725.000
698.025	1724.000
698.779	1726.000
699.533	1727.000
700.286	1728.000
701.040	1731.000
701.794	1726.000
702.547	1734.000
703.300	1727.000
704.054	1734.000
704.807	1735.000
705.560	1734.000
706.313	1732.000
707.066	1740.000
707.819	1734.000
708.572	1742.000
709.324	1734.000
710.077	1735.000
710.829	1736.000
711.582	1735.000
712.334	1738.000
713.087	1742.000
713.839	1740.000
714.591	1737.000
715.343	1744.000
716.095	1748.000
716.847	1749.000
717.599	1746.000
718.350	1743.000
719.102	1743.000
719.854	1752.000
720.605	1755.000
721.357	1755.000
722.108	1752.000
722.859	1760.000
723.610	1760.000
724.361	1763.000
725.112	1757.000
725.863	1770.000
726.614	1772.000
727.365	1768.000
728.116	1775.000
728.866	1783.000
729.617	1775.000
730.367	1781.000
731.117	1789.000
731.868	1792.000
732.618	1789.000
733.368	1795.000
734.118	1796.000
734.868	1804.000
735.618	1807.000
736.368	1808.000
737.117	1804.000
737.867	1812.000
738.616	1814.000
739.366	1829.000
740.115	1824.000
740.864	1834.000
741.614	1847.000
742.363	1846.000
743.112	1847.000
743.861	1849.000
744.610	1848.000
745.358	1862.000
746.107	1862.000
746.856	1870.000
747.604	1873.000
748.353	1887.000
749.101	1883.000
749.849	1894.000
750.598	1890.000
751.346	1892.000
752.094	1897.000
752.842	1900.000
753.589	1906.000
754.337	1911.000
755.085	1921.000
755.833	1923.000
756.580	1937.000
757.328	1931.000
758.075	1945.000
758.822	1933.000
759.569	1943.000
760.317	1945.000
761.064	1953.000
761.811	1953.000
762.557	1967.000
763.304	1965.000
764.051	1966.000
764.798	1972.000
765.544	1969.000
766.291	1977.000
767.037	1981.000
767.783	1988.000
768.529	1991.000
769.276	1996.000
770.022	1981.000
770.768	1994.000
771.513	1986.000
772.259	1993.000
