wavelength	counts
247.432	1721.000
248.227	1705.000
249.023	1702.000
249.818	1697.000
250.613	1712.000
251.408	1706.000
252.203	1715.000
252.999	1714.000
253.794	1718.000
254.588	1713.000
255.383	1711.000
256.178	1709.000
256.973	1715.000
257.768	1712.000
258.562	1718.000
259.357	1711.000
260.151	1714.000
260.946	1716.000
261.740	1717.000
262.534	1718.000
263.328	1713.000
264.123	1714.000
264.917	1715.000
265.711	1718.000
266.505	1716.000
267.299	1716.000
268.093	1714.000
268.886	1719.000
269.680	1713.000
270.474	1716.000
271.267	1717.000
272.061	1722.000
272.854	1716.000
273.648	1718.000
274.441	1720.000
275.234	1714.000
276.028	1719.000
276.821	1717.000
277.614	1717.000
278.407	1720.000
279.200	1719.000
279.993	1716.000
280.786	1717.000
281.578	1714.000
282.371	1717.000
283.164	1714.000
283.956	1720.000
284.749	1714.000
285.541	1716.000
286.334	1715.000
287.126	1713.000
287.918	1719.000
288.710	1714.000
289.503	1718.000
290.295	1719.000
291.087	1716.000
291.879	1714.000
292.670	1717.000
293.462	1717.000
294.254	1720.000
295.046	1716.000
295.837	1720.000
296.629	1721.000
297.420	1719.000
298.212	1719.000
299.003	1722.000
299.794	1715.000
300.586	1721.000
301.377	1716.000
302.168	1717.000
302.959	1722.000
303.750	1718.000
304.541	1719.000
305.332	1716.000
306.123	1717.000
306.913	1714.000
307.704	1724.000
308.494	1716.000
309.285	1718.000
310.075	1714.000
310.866	1721.000
311.656	1719.000
312.446	1717.000
313.237	1714.000
314.027	1716.000
314.817	1716.000
315.607	1715.000
316.397	1717.000
317.187	1713.000
317.976	1720.000
318.766	1716.000
319.556	1719.000
320.345	1716.000
321.135	1717.000
321.924	1722.000
322.714	1716.000
323.503	1715.000
324.293	1723.000
325.082	1720.000
325.871	1717.000
326.660	1722.000
327.449	1717.000
328.238	1719.000
329.027	1722.000
329.816	1714.000
330.604	1719.000
331.393	1721.000
332.182	1717.000
332.970	1721.000
333.759	1715.000
334.547	1720.000
335.336	1719.000
336.124	1715.000
336.912	1718.000
337.700	1721.000
338.488	1717.000
339.276	1722.000
340.064	1716.000
340.852	1718.000
341.640	1712.000
342.428	1714.000
343.216	1723.000
344.003	1716.000
344.791	1714.000
345.578	1719.000
346.366	1717.000
347.153	1726.000
347.940	1718.000
348.728	1716.000
349.515	1721.000
350.302	1716.000
351.089	1715.000
351.876	1714.000
352.663	1716.000
353.450	1717.000
354.236	1713.000
355.023	1719.000
355.810	1718.000
356.596	1724.000
357.383	1714.000
358.169	1717.000
358.956	1719.000
359.742	1719.000
360.528	1718.000
361.314	1721.000
362.100	1720.000
362.886	1716.000
363.672	1716.000
364.458	1716.000
365.244	1718.000
366.030	1716.000
366.816	1715.000
367.601	1713.000
368.387	1716.000
369.172	1710.000
369.958	1711.000
370.743	1716.000
371.528	1718.000
372.314	1716.000
373.099	1716.000
373.884	1715.000
374.669	1716.000
375.454	1718.000
376.239	1718.000
377.024	1715.000
377.808	1715.000
378.593	1718.000
379.378	1716.000
380.162	1718.000
380.947	1714.000
381.731	1717.000
382.515	1717.000
383.300	1721.000
384.084	1715.000
384.868	1718.000
385.652	1716.000
386.436	1714.000
387.220	1717.000
388.004	1719.000
388.788	1712.000
389.572	1719.000
390.355	1713.000
391.139	1719.000
391.922	1711.000
392.706	1719.000
393.489	1717.000
394.273	1716.000
395.056	1718.000
395.839	1718.000
396.622	1715.000
397.405	1713.000
398.188	1721.000
398.971	1714.000
399.754	1718.000
400.537	1717.000
401.319	1715.000
402.102	1720.000
402.885	1730.000
403.667	1742.000
404.450	1780.000
405.232	1796.000
406.014	1750.000
406.797	1724.000
407.579	1717.000
408.361	1716.000
409.143	1713.000
409.925	1720.000
410.707	1713.000
411.488	1714.000
412.270	1716.000
413.052	1715.000
413.833	1714.000
414.615	1714.000
415.397	1715.000
416.178	1718.000
416.959	1715.000
417.741	1713.000
418.522	1713.000
419.303	1714.000
420.084	1711.000
420.865	1715.000
421.646	1713.000
422.427	1709.000
423.207	1714.000
423.988	1711.000
424.769	1716.000
425.549	1717.000
426.330	1718.000
427.110	1714.000
427.891	1715.000
428.671	1712.000
