wavelength	counts
247.432	1719.000
248.227	1705.000
249.023	1698.000
249.818	1701.000
250.613	1708.000
251.408	1710.000
252.203	1711.000
252.999	1711.000
253.794	1713.000
254.588	1714.000
255.383	1713.000
256.178	1710.000
256.973	1715.000
257.768	1714.000
258.562	1714.000
259.357	1711.000
260.151	1714.000
260.946	1716.000
261.740	1718.000
262.534	1715.000
263.328	1714.000
264.123	1715.000
264.917	1717.000
265.711	1715.000
266.505	1714.000
267.299	1713.000
268.093	1717.000
268.886	1713.000
269.680	1715.000
270.474	1717.000
271.267	1716.000
272.061	1717.000
272.854	1716.000
273.648	1716.000
274.441	1717.000
275.234	1717.000
276.028	1717.000
276.821	1718.000
277.614	1714.000
278.407	1721.000
279.200	1714.000
279.993	1715.000
280.786	1718.000
281.578	1719.000
282.371	1716.000
283.164	1711.000
283.956	1714.000
284.749	1715.000
285.541	1715.000
286.334	1718.000
287.126	1716.000
287.918	1719.000
288.710	1720.000
289.503	1715.000
290.295	1719.000
291.087	1714.000
291.879	1718.000
292.670	1715.000
293.462	1719.000
294.254	1718.000
295.046	1716.000
295.837	1719.000
296.629	1719.000
297.420	1721.000
298.212	1716.000
299.003	1714.000
299.794	1712.000
300.586	1713.000
301.377	1716.000
302.168	1716.000
302.959	1720.000
303.750	1717.000
304.541	1714.000
305.332	1721.000
306.123	1711.000
306.913	1717.000
307.704	1717.000
308.494	1716.000
309.285	1717.000
310.075	1717.000
310.866	1724.000
311.656	1715.000
312.446	1718.000
313.237	1719.000
314.027	1715.000
314.817	1716.000
315.607	1722.000
316.397	1716.000
317.187	1714.000
317.976	1721.000
318.766	1716.000
319.556	1716.000
320.345	1714.000
321.135	1723.000
321.924	1722.000
322.714	1714.000
323.503	1721.000
324.293	1716.000
325.082	1720.000
325.871	1720.000
326.660	1716.000
327.449	1721.000
328.238	1718.000
329.027	1726.000
329.816	1713.000
330.604	1720.000
331.393	1717.000
332.182	1722.000
332.970	1715.000
333.759	1717.000
334.547	1723.000
335.336	1714.000
336.124	1714.000
336.912	1712.000
337.700	1717.000
338.488	1713.000
339.276	1720.000
340.064	1717.000
340.852	1719.000
341.640	1717.000
342.428	1720.000
343.216	1718.000
344.003	1721.000
344.791	1721.000
345.578	1716.000
346.366	1716.000
347.153	1722.000
347.940	1717.000
348.728	1715.000
349.515	1718.000
350.302	1714.000
351.089	1713.000
351.876	1710.000
352.663	1720.000
353.450	1713.000
354.236	1715.000
355.023	1720.000
355.810	1717.000
356.596	1716.000
357.383	1718.000
358.169	1715.000
358.956	1718.000
359.742	1714.000
360.528	1713.000
361.314	1721.000
362.100	1719.000
362.886	1714.000
363.672	1721.000
364.458	1713.000
365.244	1713.000
366.030	1718.000
366.816	1713.000
367.601	1715.000
368.387	1715.000
369.172	1714.000
369.958	1713.000
370.743	1714.000
371.528	1717.000
372.314	1712.000
373.099	1717.000
373.884	1715.000
374.669	1715.000
375.454	1712.000
376.239	1720.000
377.024	1716.000
377.808	1715.000
378.593	1713.000
379.378	1719.000
380.162	1714.000
380.947	1711.000
381.731	1713.000
382.515	1715.000
383.300	1715.000
384.084	1718.000
384.868	1714.000
385.652	1714.000
386.436	1715.000
387.220	1717.000
388.004	1713.000
388.788	1717.000
389.572	1717.000
390.355	1717.000
391.139	1720.000
391.922	1711.000
392.706	1718.000
393.489	1712.000
394.273	1718.000
395.056	1716.000
395.839	1720.000
396.622	1711.000
397.405	1718.000
398.188	1715.000
398.971	1714.000
399.754	1713.000
400.537	1714.000
401.319	1719.000
402.102	1713.000
402.885	1719.000
403.667	1716.000
404.450	1728.000
405.232	1730.000
406.014	1725.000
406.797	1720.000
407.579	1721.000
408.361	1716.000
409.143	1716.000
409.925	1717.000
410.707	1713.000
411.488	1718.000
412.270	1712.000
413.052	1720.000
413.833	1718.000
414.615	1715.000
415.397	1714.000
416.178	1716.000
416.959	1711.000
417.741	1714.000
418.522	1710.000
419.303	1714.000
420.084	1710.000
420.865	1720.000
421.646	1713.000
422.427	1715.000
423.207	1718.000
423.988	1713.000
424.769	1714.000
425.549	1720.000
426.330	1714.000
427.110	1710.000
427.891	1718.000
428.671	1711.000
429.451	1718.000
430.231	1714.000
431.011	1719.000
431.791	1712.000
432.571	1717.000
433.351	1717.000
434.131	1714.000
434.911	1717.000
435.690	1715.000
436.470	1718.000
437.250	1714.000
438.029	1718.000
438.808	1715.000
439.588	1722.000
440.367	1715.000
441.146	1716.000
441.925	1709.000
442.704	1718.000
443.483	1713.000
444.262	1717.000
445.041	1711.000
445.820	1721.000
446.598	1719.000
447.377	1722.000
448.156	1719.000
448.934	1726.000
449.712	1728.000
450.491	1726.000
451.269	1727.000
452.047	1726.000
452.825	1725.000
453.603	1725.000
454.381	1728.000
455.159	1719.000
455.937	1725.000
456.715	1729.000
457.493	1720.000
458.270	1722.000
459.048	1721.000
459.825	1719.000
460.603	1722.000
461.380	1725.000
462.157	1729.000
462.934	1722.000
463.712	1718.000
464.489	1727.000
465.266	1724.000
466.043	1725.000
466.819	1720.000
467.596	1722.000
468.373	1722.000
469.150	1719.000
469.926	1720.000
470.703	1723.000
471.479	1718.000
472.255	1723.000
473.032	1720.000
473.808	1717.000
474.584	1717.000
475.360	1712.000
476.136	1720.000
476.912	1718.000
477.688	1723.000
478.464	1715.000
479.239	1721.000
480.015	1716.000
480.790	1720.000
481.566	1715.000
482.341	1725.000
483.117	1720.000
483.892	1722.000
484.667	1723.000
485.442	1716.000
486.217	1721.000
486.992	1717.000
487.767	1720.000
488.542	1717.000
489.317	1719.000
490.091	1717.000
490.866	1723.000
491.641	1717.000
492.415	1721.000
493.190	1716.000
493.964	1709.000
494.738	1716.000
495.512	1716.000
496.286	1722.000
497.060	1716.000
497.834	1719.000
498.608	1716.000
499.382	1716.000
500.156	1717.000
500.930	1717.000
501.703	1716.000
502.477	1719.000
503.250	1721.000
504.024	1725.000
504.797	1716.000
505.570	1720.000
506.343	1721.000
507.116	1720.000
507.889	1720.000
508.662	1717.000
509.435	1720.000
510.208	1720.000
510.981	1722.000
511.754	1713.000
512.526	1724.000
513.299	1720.000
514.071	1713.000
514.843	1719.000
515.616	1736.000
516.388	1721.000
517.160	1727.000
517.932	1723.000
518.704	1724.000
519.476	1718.000
520.248	1721.000
521.020	1723.000
521.791	1720.000
522.563	1722.000
523.335	1720.000
524.106	1730.000
524.878	1720.000
525.649	1723.000
526.420	1722.000
527.191	1723.000
527.963	1724.000
528.734	1724.000
529.505	1726.000
530.275	1722.000
531.046	1725.000
531.817	1729.000
532.588	1724.000
533.358	1729.000
534.129	1726.000
534.899	1723.000
535.670	1733.000
536.440	1723.000
537.210	1723.000
537.980	1722.000
538.750	1734.000
539.520	1733.000
540.290	1729.000
541.060	1727.000
541.830	1732.000
542.600	1729.000
543.369	1732.000
544.139	1728.000
544.909	1735.000
545.678	1731.000
546.447	1733.000
547.217	1734.000
547.986	1729.000
548.755	1727.000
549.524	1726.000
550.293	1731.000
551.062	1726.000
551.831	1728.000
552.599	1730.000
553.368	1728.000
554.137	1729.000
554.905	1729.000
555.674	1728.000
556.442	1729.000
557.210	1730.000
557.979	1733.000
558.747	1723.000
559.515	1730.000
560.283	1730.000
561.051	1729.000
561.819	1730.000
562.586	1733.000
563.354	1730.000
564.122	1730.000
564.889	1730.000
565.657	1727.000
566.424	1730.000
567.191	1727.000
567.959	1730.000
568.726	1728.000
569.493	1727.000
570.260	1731.000
571.027	1727.000
571.794	1730.000
572.561	1729.000
573.327	1734.000
574.094	1731.000
574.860	1731.000
575.627	1731.000
576.393	1731.000
577.160	1727.000
577.926	1740.000
578.692	1731.000
579.458	1734.000
580.224	1729.000
580.990	1730.000
581.756	1730.000
582.522	1734.000
583.288	1735.000
584.053	1726.000
584.819	1734.000
585.585	1732.000
586.350	1727.000
587.115	1724.000
587.881	1732.000
588.646	1734.000
589.411	1730.000
590.176	1731.000
590.941	1730.000
591.706	1725.000
592.471	1731.000
593.235	1732.000
594.000	1731.000
594.765	1728.000
595.529	1732.000
596.294	1735.000
597.058	1730.000
597.822	1727.000
598.587	1728.000
599.351	1733.000
600.115	1724.000
600.879	1731.000
601.643	1726.000
602.406	1729.000
603.170	1730.000
603.934	1729.000
604.698	1724.000
605.461	1734.000
606.224	1732.000
606.988	1732.000
607.751	1729.000
608.514	1727.000
609.278	1734.000
610.041	1733.000
610.804	1740.000
611.566	1738.000
612.329	1737.000
613.092	1724.000
613.855	1728.000
614.617	1728.000
615.380	1732.000
616.142	1725.000
616.905	1732.000
617.667	1728.000
618.429	1734.000
619.191	1731.000
619.953	1730.000
620.715	1720.000
621.477	1730.000
622.239	1728.000
623.001	1726.000
623.763	1731.000
624.524	1727.000
625.286	1724.000
626.047	1725.000
626.808	1724.000
627.570	1724.000
628.331	1727.000
629.092	1725.000
629.853	1724.000
630.614	1727.000
631.375	1726.000
632.136	1732.000
632.896	1723.000
633.657	1723.000
634.418	1727.000
635.178	1722.000
635.939	1724.000
636.699	1720.000
637.459	1724.000
638.219	1724.000
638.980	1722.000
639.740	1725.000
640.500	1717.000
641.260	1721.000
642.019	1719.000
642.779	1724.000
643.539	1723.000
644.298	1722.000
645.058	1719.000
645.817	1727.000
646.576	1725.000
647.336	1720.000
648.095	1724.000
648.854	1723.000
649.613	1724.000
650.372	1725.000
651.131	1723.000
651.890	1722.000
652.648	1716.000
653.407	1718.000
654.165	1718.000
654.924	1720.000
655.682	1723.000
656.441	1723.000
657.199	1726.000
657.957	1723.000
658.715	1718.000
659.473	1721.000
660.231	1724.000
660.989	1721.000
661.747	1723.000
662.504	1724.000
663.262	1720.000
664.019	1722.000
664.777	1720.000
665.534	1722.000
666.291	1722.000
667.049	1722.000
667.806	1724.000
668.563	1729.000
669.320	1720.000
670.077	1721.000
670.833	1720.000
671.590	1727.000
672.347	1722.000
673.103	1719.000
673.860	1724.000
674.616	1719.000
675.373	1723.000
676.129	1714.000
676.885	1723.000
677.641	1718.000
678.397	1723.000
679.153	1718.000
679.909	1716.000
680.665	1717.000
681.420	1724.000
682.176	1718.000
682.931	1717.000
683.687	1722.000
684.442	1719.000
685.198	1718.000
685.953	1717.000
686.708	1722.000
687.463	1714.000
688.218	1722.000
688.973	1720.000
689.728	1724.000
690.482	1718.000
691.237	1721.000
691.992	1729.000
692.746	1718.000
693.500	1721.000
694.255	1724.000
695.009	1722.000
695.763	1716.000
696.517	1723.000
697.271	1715.000
698.025	1719.000
698.779	1713.000
699.533	1720.000
700.286	1718.000
701.040	1721.000
701.794	1717.000
702.547	1720.000
703.300	1717.000
704.054	1723.000
704.807	1716.000
705.560	1718.000
706.313	1720.000
707.066	1719.000
707.819	1724.000
708.572	1725.000
709.324	1718.000
710.077	1716.000
710.829	1720.000
711.582	1720.000
712.334	1722.000
713.087	1716.000
713.839	1723.000
714.591	1719.000
715.343	1723.000
716.095	1724.000
716.847	1719.000
717.599	1714.000
718.350	1717.000
719.102	1717.000
719.854	1718.000
720.605	1715.000
721.357	1714.000
722.108	1717.000
722.859	1722.000
723.610	1725.000
724.361	1720.000
725.112	1719.000
725.863	1719.000
726.614	1714.000
727.365	1717.000
728.116	1717.000
728.866	1709.000
729.617	1720.000
730.367	1721.000
731.117	1716.000
731.868	1719.000
732.618	1715.000
733.368	1721.000
734.118	1720.000
734.868	1719.000
735.618	1711.000
736.368	1720.000
737.117	1718.000
737.867	1718.000
738.616	1719.000
739.366	1717.000
740.115	1715.000
740.864	1717.000
741.614	1728.000
742.363	1717.000
743.112	1716.000
743.861	1715.000
744.610	1711.000
745.358	1723.000
746.107	1720.000
746.856	1717.000
747.604	1720.000
748.353	1717.000
749.101	1723.000
749.849	1716.000
750.598	1716.000
751.346	1717.000
752.094	1715.000
752.842	1718.000
753.589	1721.000
754.337	1715.000
755.085	1717.000
755.833	1715.000
756.580	1716.000
757.328	1719.000
758.075	1715.000
758.822	1714.000
759.569	1712.000
760.317	1718.000
761.064	1711.000
761.811	1720.000
762.557	1714.000
763.304	1716.000
764.051	1715.000
764.798	1716.000
765.544	1711.000
766.291	1713.000
767.037	1716.000
767.783	1719.000
768.529	1718.000
769.276	1716.000
770.022	1717.000
770.768	1716.000
771.513	1715.000
772.259	1711.000
