wavelength	counts
247.432	1720.000
248.227	1708.000
249.023	1706.000
249.818	1701.000
250.613	1713.000
251.408	1710.000
252.203	1715.000
252.999	1712.000
253.794	1709.000
254.588	1713.000
255.383	1711.000
256.178	1712.000
256.973	1711.000
257.768	1714.000
258.562	1712.000
259.357	1711.000
260.151	1714.000
260.946	1713.000
261.740	1718.000
262.534	1714.000
263.328	1714.000
264.123	1717.000
264.917	1715.000
265.711	1716.000
266.505	1717.000
267.299	1719.000
268.093	1712.000
268.886	1720.000
269.680	1712.000
270.474	1718.000
271.267	1714.000
272.061	1723.000
272.854	1715.000
273.648	1715.000
274.441	1719.000
275.234	1710.000
276.028	1715.000
276.821	1721.000
277.614	1717.000
278.407	1720.000
279.200	1716.000
279.993	1712.000
280.786	1715.000
281.578	1718.000
282.371	1719.000
283.164	1714.000
283.956	1715.000
284.749	1720.000
285.541	1713.000
286.334	1717.000
287.126	1714.000
287.918	1716.000
288.710	1718.000
289.503	1720.000
290.295	1713.000
291.087	1719.000
291.879	1717.000
292.670	1714.000
293.462	1718.000
294.254	1717.000
295.046	1717.000
295.837	1721.000
296.629	1715.000
297.420	1716.000
298.212	1723.000
299.003	1719.000
299.794	1713.000
300.586	1724.000
301.377	1714.000
302.168	1718.000
302.959	1723.000
303.750	1716.000
304.541	1717.000
305.332	1717.000
306.123	1719.000
306.913	1716.000
307.704	1716.000
308.494	1714.000
309.285	1715.000
310.075	1714.000
310.866	1716.000
311.656	1715.000
312.446	1718.000
313.237	1713.000
314.027	1714.000
314.817	1714.000
315.607	1715.000
316.397	1719.000
317.187	1718.000
317.976	1721.000
318.766	1713.000
319.556	1721.000
320.345	1713.000
321.135	1718.000
321.924	1717.000
322.714	1717.000
323.503	1717.000
324.293	1718.000
325.082	1720.000
325.871	1716.000
326.660	1720.000
327.449	1719.000
328.238	1720.000
329.027	1728.000
329.816	1716.000
330.604	1718.000
331.393	1717.000
332.182	1715.000
332.970	1718.000
333.759	1712.000
334.547	1719.000
335.336	1715.000
336.124	1718.000
336.912	1715.000
337.700	1719.000
338.488	1715.000
339.276	1720.000
340.064	1718.000
340.852	1721.000
341.640	1717.000
342.428	1715.000
343.216	1717.000
344.003	1720.000
344.791	1714.000
345.578	1715.000
346.366	1723.000
347.153	1717.000
347.940	1720.000
348.728	1717.000
349.515	1718.000
350.302	1718.000
351.089	1720.000
351.876	1720.000
352.663	1719.000
353.450	1712.000
354.236	1714.000
355.023	1719.000
355.810	1717.000
356.596	1723.000
357.383	1720.000
358.169	1716.000
358.956	1716.000
359.742	1715.000
360.528	1721.000
361.314	1716.000
362.100	1723.000
362.886	1716.000
363.672	1717.000
364.458	1711.000
365.244	1717.000
366.030	1717.000
366.816	1718.000
367.601	1712.000
368.387	1708.000
369.172	1716.000
369.958	1716.000
370.743	1711.000
371.528	1717.000
372.314	1716.000
373.099	1714.000
373.884	1715.000
374.669	1717.000
375.454	1718.000
376.239	1717.000
377.024	1714.000
377.808	1717.000
378.593	1713.000
379.378	1721.000
380.162	1716.000
380.947	1711.000
381.731	1716.000
382.515	1718.000
383.300	1715.000
384.084	1714.000
384.868	1719.000
385.652	1713.000
386.436	1718.000
387.220	1714.000
388.004	1715.000
388.788	1716.000
389.572	1717.000
390.355	1722.000
391.139	1716.000
391.922	1718.000
392.706	1714.000
393.489	1712.000
394.273	1712.000
395.056	1717.000
395.839	1719.000
396.622	1719.000
397.405	1711.000
398.188	1715.000
398.971	1710.000
399.754	1718.000
400.537	1716.000
401.319	1719.000
402.102	1719.000
402.885	1727.000
403.667	1741.000
404.450	1770.000
405.232	1793.000
406.014	1746.000
406.797	1723.000
407.579	1711.000
408.361	1717.000
409.143	1719.000
409.925	1719.000
410.707	1709.000
411.488	1724.000
412.270	1713.000
413.052	1719.000
413.833	1714.000
414.615	1712.000
415.397	1710.000
416.178	1714.000
416.959	1715.000
417.741	1713.000
418.522	1716.000
419.303	1708.000
420.084	1716.000
420.865	1716.000
421.646	1714.000
422.427	1715.000
423.207	1716.000
423.988	1710.000
424.769	1716.000
425.549	1717.000
426.330	1718.000
427.110	1719.000
427.891	1711.000
428.671	1716.000
429.451	1720.000
430.231	1721.000
431.011	1714.000
431.791	1716.000
432.571	1715.000
433.351	1717.000
434.131	1716.000
434.911	1714.000
435.690	1711.000
436.470	1718.000
437.250	1717.000
438.029	1716.000
438.808	1712.000
439.588	1720.000
440.367	1722.000
441.146	1714.000
441.925	1717.000
442.704	1716.000
443.483	1721.000
444.262	1714.000
445.041	1718.000
445.820	1714.000
446.598	1721.000
