wavelength	counts
247.432	1723.000
248.227	1705.000
249.023	1702.000
249.818	1702.000
250.613	1713.000
251.408	1705.000
252.203	1715.000
252.999	1708.000
253.794	1715.000
254.588	1715.000
255.383	1714.000
256.178	1711.000
256.973	1715.000
257.768	1712.000
258.562	1711.000
259.357	1711.000
260.151	1712.000
260.946	1714.000
261.740	1718.000
262.534	1719.000
263.328	1714.000
264.123	1721.000
264.917	1713.000
265.711	1711.000
266.505	1713.000
267.299	1710.000
268.093	1713.000
268.886	1719.000
269.680	1717.000
270.474	1719.000
271.267	1714.000
272.061	1723.000
272.854	1718.000
273.648	1720.000
274.441	1717.000
275.234	1715.000
276.028	1719.000
276.821	1718.000
277.614	1712.000
278.407	1718.000
279.200	1720.000
279.993	1716.000
280.786	1714.000
281.578	1717.000
282.371	1718.000
283.164	1712.000
283.956	1714.000
284.749	1715.000
285.541	1717.000
286.334	1721.000
287.126	1716.000
287.918	1718.000
288.710	1717.000
289.503	1713.000
290.295	1714.000
291.087	1715.000
291.879	1717.000
292.670	1718.000
293.462	1710.000
294.254	1716.000
295.046	1718.000
295.837	1716.000
296.629	1717.000
297.420	1720.000
298.212	1715.000
299.003	1713.000
299.794	1714.000
300.586	1717.000
301.377	1713.000
302.168	1719.000
302.959	1723.000
303.750	1714.000
304.541	1721.000
305.332	1715.000
306.123	1716.000
306.913	1719.000
307.704	1719.000
308.494	1715.000
309.285	1716.000
310.075	1714.000
310.866	1714.000
311.656	1716.000
312.446	1716.000
313.237	1715.000
314.027	1718.000
314.817	1718.000
315.607	1715.000
316.397	1718.000
317.187	1714.000
317.976	1725.000
318.766	1713.000
319.556	1719.000
320.345	1719.000
321.135	1713.000
321.924	1721.000
322.714	1713.000
323.503	1720.000
324.293	1714.000
325.082	1718.000
325.871	1718.000
326.660	1720.000
327.449	1715.000
328.238	1722.000
329.027	1727.000
329.816	1717.000
330.604	1714.000
331.393	1717.000
332.182	1718.000
332.970	1718.000
333.759	1712.000
334.547	1718.000
335.336	1715.000
336.124	1710.000
336.912	1718.000
337.700	1721.000
338.488	1723.000
339.276	1722.000
340.064	1719.000
340.852	1718.000
341.640	1715.000
342.428	1716.000
343.216	1721.000
344.003	1721.000
