wavelength	counts
247.432	1721.000
248.227	1707.000
249.023	1701.000
249.818	1704.000
250.613	1711.000
251.408	1710.000
252.203	1711.000
252.999	1713.000
253.794	1714.000
254.588	1717.000
255.383	1714.000
256.178	1714.000
256.973	1712.000
257.768	1716.000
258.562	1716.000
259.357	1718.000
260.151	1712.000
260.946	1714.000
261.740	1715.000
262.534	1720.000
263.328	1713.000
264.123	1717.000
264.917	1715.000
265.711	1716.000
266.505	1716.000
267.299	1716.000
268.093	1713.000
268.886	1717.000
269.680	1718.000
270.474	1712.000
271.267	1718.000
272.061	1719.000
272.854	1720.000
273.648	1715.000
274.441	1720.000
275.234	1715.000
276.028	1718.000
276.821	1719.000
277.614	1716.000
278.407	1717.000
279.200	1713.000
279.993	1714.000
280.786	1719.000
281.578	1717.000
282.371	1717.000
283.164	1723.000
283.956	1714.000
284.749	1719.000
285.541	1719.000
286.334	1722.000
287.126	1716.000
287.918	1722.000
288.710	1718.000
289.503	1722.000
290.295	1716.000
291.087	1715.000
291.879	1720.000
292.670	1717.000
293.462	1717.000
294.254	1717.000
295.046	1724.000
295.837	1721.000
296.629	1719.000
297.420	1718.000
298.212	1716.000
299.003	1709.000
299.794	1715.000
300.586	1716.000
301.377	1719.000
302.168	1717.000
302.959	1719.000
303.750	1719.000
304.541	1719.000
305.332	1719.000
306.123	1715.000
306.913	1719.000
307.704	1714.000
308.494	1718.000
309.285	1715.000
310.075	1719.000
310.866	1717.000
311.656	1723.000
312.446	1715.000
313.237	1723.000
314.027	1711.000
314.817	1719.000
315.607	1717.000
316.397	1722.000
317.187	1717.000
317.976	1721.000
318.766	1719.000
319.556	1716.000
320.345	1716.000
321.135	1719.000
321.924	1725.000
322.714	1720.000
323.503	1718.000
324.293	1714.000
325.082	1726.000
325.871	1718.000
326.660	1721.000
327.449	1714.000
328.238	1720.000
329.027	1725.000
329.816	1717.000
330.604	1717.000
331.393	1719.000
332.182	1719.000
332.970	1718.000
333.759	1721.000
334.547	1718.000
335.336	1719.000
336.124	1718.000
336.912	1720.000
