wavelength	counts
247.432	1723.000
248.227	1702.000
249.023	1707.000
249.818	1696.000
250.613	1710.000
251.408	1710.000
252.203	1714.000
252.999	1711.000
253.794	1710.000
254.588	1713.000
255.383	1712.000
256.178	1714.000
256.973	1710.000
257.768	1717.000
258.562	1709.000
259.357	1712.000
260.151	1709.000
260.946	1715.000
261.740	1715.000
262.534	1719.000
263.328	1718.000
264.123	1717.000
264.917	1713.000
265.711	1714.000
266.505	1711.000
267.299	1714.000
268.093	1714.000
268.886	1720.000
269.680	1721.000
270.474	1721.000
271.267	1714.000
272.061	1716.000
272.854	1716.000
273.648	1713.000
274.441	1723.000
275.234	1712.000
276.028	1721.000
276.821	1719.000
277.614	1720.000
278.407	1716.000
279.200	1716.000
279.993	1714.000
280.786	1712.000
281.578	1716.000
282.371	1713.000
283.164	1714.000
283.956	1711.000
284.749	1719.000
285.541	1717.000
286.334	1723.000
287.126	1716.000
287.918	1716.000
288.710	1715.000
289.503	1722.000
290.295	1716.000
291.087	1715.000
291.879	1718.000
292.670	1716.000
293.462	1717.000
294.254	1714.000
295.046	1718.000
295.837	1718.000
296.629	1720.000
297.420	1714.000
298.212	1715.000
299.003	1717.000
299.794	1720.000
300.586	1715.000
301.377	1714.000
302.168	1719.000
302.959	1724.000
303.750	1713.000
304.541	1718.000
305.332	1712.000
306.123	1715.000
306.913	1717.000
307.704	1719.000
308.494	1722.000
309.285	1715.000
310.075	1718.000
310.866	1719.000
311.656	1722.000
312.446	1716.000
313.237	1722.000
314.027	1714.000
314.817	1714.000
315.607	1712.000
316.397	1722.000
317.187	1718.000
317.976	1717.000
318.766	1720.000
319.556	1718.000
320.345	1717.000
321.135	1717.000
321.924	1722.000
322.714	1716.000
323.503	1717.000
324.293	1716.000
325.082	1720.000
325.871	1717.000
326.660	1717.000
327.449	1716.000
328.238	1716.000
329.027	1723.000
329.816	1717.000
330.604	1714.000
331.393	1721.000
332.182	1720.000
332.970	1720.000
333.759	1714.000
334.547	1717.000
335.336	1720.000
336.124	1709.000
336.912	1719.000
337.700	1717.000
338.488	1719.000
339.276	1719.000
340.064	1716.000
340.852	1716.000
341.640	1720.000
342.428	1716.000
343.216	1717.000
344.003	1721.000
344.791	1715.000
345.578	1718.000
346.366	1718.000
347.153	1722.000
347.940	1715.000
348.728	1713.000
349.515	1714.000
350.302	1719.000
351.089	1714.000
351.876	1719.000
352.663	1718.000
353.450	1713.000
354.236	1709.000
355.023	1718.000
355.810	1715.000
356.596	1714.000
357.383	1718.000
358.169	1720.000
358.956	1721.000
359.742	1717.000
360.528	1722.000
361.314	1714.000
362.100	1716.000
362.886	1715.000
363.672	1721.000
364.458	1711.000
365.244	1715.000
366.030	1719.000
366.816	1719.000
367.601	1714.000
368.387	1719.000
369.172	1712.000
369.958	1714.000
370.743	1722.000
371.528	1715.000
372.314	1721.000
373.099	1718.000
373.884	1720.000
374.669	1713.000
375.454	1721.000
376.239	1716.000
377.024	1718.000
377.808	1715.000
378.593	1715.000
379.378	1722.000
380.162	1717.000
380.947	1711.000
381.731	1713.000
382.515	1718.000
383.300	1719.000
384.084	1718.000
384.868	1710.000
385.652	1717.000
386.436	1718.000
387.220	1720.000
388.004	1716.000
388.788	1717.000
389.572	1716.000
390.355	1714.000
391.139	1717.000
391.922	1715.000
392.706	1720.000
393.489	1716.000
394.273	1711.000
395.056	1714.000
395.839	1719.000
396.622	1711.000
397.405	1717.000
398.188	1716.000
398.971	1718.000
399.754	1716.000
400.537	1713.000
401.319	1714.000
402.102	1715.000
402.885	1719.000
403.667	1724.000
404.450	1729.000
405.232	1736.000
406.014	1719.000
406.797	1719.000
407.579	1717.000
408.361	1713.000
409.143	1716.000
409.925	1719.000
410.707	1715.000
411.488	1720.000
412.270	1720.000
413.052	1712.000
413.833	1717.000
414.615	1711.000
415.397	1720.000
416.178	1715.000
416.959	1716.000
417.741	1715.000
418.522	1716.000
419.303	1713.000
420.084	1714.000
420.865	1720.000
421.646	1718.000
422.427	1713.000
423.207	1712.000
423.988	1714.000
424.769	1712.000
425.549	1716.000
426.330	1713.000
427.110	1714.000
427.891	1712.000
428.671	1717.000
429.451	1719.000
430.231	1721.000
431.011	1709.000
431.791	1716.000
432.571	1710.000
433.351	1713.000
434.131	1720.000
434.911	1714.000
435.690	1714.000
436.470	1716.000
437.250	1719.000
438.029	1716.000
438.808	1714.000
439.588	1714.000
440.367	1718.000
441.146	1719.000
441.925	1717.000
442.704	1718.000
443.483	1717.000
444.262	1712.000
445.041	1714.000
445.820	1718.000
446.598	1718.000
447.377	1717.000
448.156	1717.000
448.934	1730.000
449.712	1718.000
450.491	1725.000
451.269	1722.000
452.047	1731.000
452.825	1724.000
453.603	1732.000
454.381	1728.000
455.159	1726.000
