wavelength	counts
247.432	1722.000
248.227	1705.000
249.023	1703.000
249.818	1699.000
250.613	1711.000
251.408	1711.000
252.203	1714.000
252.999	1707.000
253.794	1710.000
254.588	1716.000
255.383	1715.000
256.178	1710.000
256.973	1712.000
257.768	1716.000
258.562	1713.000
259.357	1714.000
260.151	1714.000
260.946	1717.000
261.740	1715.000
262.534	1716.000
263.328	1713.000
264.123	1717.000
264.917	1712.000
265.711	1714.000
266.505	1718.000
267.299	1711.000
268.093	1716.000
268.886	1717.000
269.680	1721.000
270.474	1719.000
271.267	1717.000
272.061	1719.000
272.854	1718.000
273.648	1721.000
274.441	1717.000
275.234	1715.000
276.028	1717.000
276.821	1717.000
277.614	1722.000
278.407	1718.000
279.200	1714.000
279.993	1714.000
280.786	1716.000
281.578	1713.000
282.371	1715.000
283.164	1719.000
283.956	1715.000
284.749	1718.000
285.541	1721.000
286.334	1722.000
287.126	1712.000
287.918	1717.000
288.710	1717.000
289.503	1722.000
290.295	1717.000
291.087	1717.000
291.879	1719.000
292.670	1715.000
293.462	1717.000
294.254	1716.000
295.046	1721.000
295.837	1715.000
296.629	1719.000
297.420	1713.000
298.212	1718.000
299.003	1717.000
299.794	1717.000
300.586	1716.000
301.377	1714.000
302.168	1717.000
302.959	1722.000
303.750	1719.000
304.541	1720.000
305.332	1719.000
306.123	1715.000
306.913	1715.000
307.704	1714.000
308.494	1718.000
309.285	1717.000
310.075	1724.000
310.866	1714.000
311.656	1720.000
312.446	1712.000
313.237	1719.000
314.027	1712.000
314.817	1717.000
315.607	1714.000
316.397	1718.000
317.187	1721.000
317.976	1724.000
318.766	1715.000
319.556	1719.000
320.345	1722.000
321.135	1717.000
321.924	1724.000
322.714	1718.000
323.503	1722.000
324.293	1717.000
325.082	1719.000
325.871	1724.000
326.660	1715.000
327.449	1720.000
328.238	1721.000
329.027	1722.000
329.816	1713.000
330.604	1719.000
331.393	1717.000
332.182	1723.000
332.970	1716.000
333.759	1717.000
334.547	1719.000
335.336	1722.000
336.124	1713.000
336.912	1720.000
337.700	1716.000
338.488	1719.000
339.276	1722.000
340.064	1718.000
340.852	1722.000
341.640	1719.000
342.428	1719.000
343.216	1719.000
344.003	1720.000
344.791	1712.000
345.578	1722.000
346.366	1715.000
347.153	1719.000
347.940	1716.000
348.728	1718.000
349.515	1718.000
350.302	1717.000
351.089	1719.000
351.876	1721.000
352.663	1716.000
353.450	1712.000
354.236	1714.000
355.023	1713.000
355.810	1713.000
356.596	1718.000
357.383	1712.000
358.169	1716.000
358.956	1719.000
359.742	1716.000
360.528	1719.000
361.314	1717.000
362.100	1715.000
362.886	1713.000
363.672	1719.000
364.458	1711.000
365.244	1717.000
366.030	1722.000
366.816	1716.000
367.601	1716.000
368.387	1714.000
369.172	1713.000
369.958	1714.000
370.743	1715.000
371.528	1712.000
372.314	1716.000
373.099	1714.000
373.884	1713.000
374.669	1717.000
375.454	1719.000
376.239	1711.000
377.024	1717.000
377.808	1714.000
378.593	1714.000
379.378	1716.000
380.162	1717.000
380.947	1707.000
381.731	1718.000
382.515	1714.000
383.300	1717.000
384.084	1718.000
384.868	1716.000
385.652	1721.000
386.436	1711.000
387.220	1721.000
388.004	1713.000
388.788	1714.000
389.572	1713.000
390.355	1716.000
391.139	1712.000
391.922	1719.000
392.706	1720.000
393.489	1714.000
394.273	1716.000
395.056	1712.000
395.839	1719.000
396.622	1714.000
397.405	1711.000
398.188	1716.000
398.971	1714.000
399.754	1713.000
400.537	1716.000
401.319	1713.000
402.102	1718.000
402.885	1721.000
403.667	1742.000
404.450	1775.000
405.232	1791.000
406.014	1753.000
406.797	1722.000
407.579	1720.000
408.361	1717.000
409.143	1719.000
409.925	1721.000
410.707	1714.000
411.488	1713.000
412.270	1717.000
413.052	1717.000
413.833	1720.000
414.615	1713.000
415.397	1713.000
416.178	1714.000
416.959	1719.000
417.741	1719.000
418.522	1718.000
419.303	1710.000
420.084	1712.000
420.865	1720.000
421.646	1708.000
422.427	1715.000
423.207	1718.000
423.988	1712.000
424.769	1711.000
425.549	1717.000
426.330	1715.000
427.110	1718.000
427.891	1720.000
428.671	1718.000
429.451	1714.000
430.231	1716.000
431.011	1717.000
431.791	1714.000
432.571	1714.000
433.351	1714.000
434.131	1719.000
434.911	1716.000
435.690	1716.000
436.470	1713.000
437.250	1716.000
438.029	1714.000
438.808	1718.000
439.588	1718.000
440.367	1721.000
441.146	1714.000
441.925	1716.000
442.704	1720.000
443.483	1714.000
444.262	1720.000
445.041	1716.000
445.820	1717.000
446.598	1723.000
447.377	1722.000
448.156	1722.000
448.934	1732.000
449.712	1726.000
450.491	1728.000
451.269	1727.000
452.047	1728.000
452.825	1726.000
453.603	1723.000
454.381	1730.000
455.159	1724.000
455.937	1728.000
456.715	1723.000
457.493	1726.000
458.270	1721.000
459.048	1720.000
459.825	1725.000
460.603	1731.000
