wavelength	counts
247.432	1724.000
248.227	1705.000
249.023	1705.000
249.818	1705.000
250.613	1709.000
251.408	1706.000
252.203	1713.000
252.999	1711.000
253.794	1708.000
254.588	1712.000
255.383	1715.000
256.178	1710.000
256.973	1716.000
257.768	1715.000
258.562	1715.000
259.357	1711.000
260.151	1712.000
260.946	1713.000
261.740	1721.000
262.534	1714.000
263.328	1717.000
264.123	1719.000
264.917	1716.000
265.711	1718.000
266.505	1714.000
267.299	1717.000
268.093	1713.000
268.886	1712.000
269.680	1715.000
270.474	1719.000
271.267	1717.000
272.061	1718.000
272.854	1715.000
273.648	1718.000
274.441	1715.000
275.234	1720.000
276.028	1721.000
276.821	1722.000
277.614	1717.000
278.407	1714.000
279.200	1712.000
279.993	1713.000
280.786	1715.000
281.578	1716.000
282.371	1715.000
283.164	1712.000
283.956	1717.000
284.749	1717.000
285.541	1717.000
286.334	1715.000
287.126	1721.000
287.918	1713.000
288.710	1719.000
289.503	1719.000
290.295	1718.000
291.087	1718.000
291.879	1720.000
292.670	1712.000
293.462	1716.000
294.254	1719.000
295.046	1719.000
295.837	1725.000
296.629	1714.000
297.420	1718.000
298.212	1718.000
299.003	1719.000
299.794	1712.000
300.586	1720.000
301.377	1720.000
302.168	1715.000
302.959	1719.000
303.750	1716.000
304.541	1716.000
305.332	1719.000
306.123	1716.000
306.913	1718.000
307.704	1717.000
308.494	1716.000
309.285	1713.000
310.075	1717.000
310.866	1721.000
311.656	1714.000
312.446	1714.000
313.237	1713.000
314.027	1713.000
314.817	1711.000
315.607	1718.000
316.397	1718.000
317.187	1718.000
317.976	1721.000
318.766	1717.000
319.556	1715.000
320.345	1717.000
321.135	1716.000
321.924	1720.000
322.714	1717.000
323.503	1714.000
324.293	1718.000
325.082	1716.000
325.871	1720.000
326.660	1721.000
327.449	1721.000
328.238	1716.000
329.027	1724.000
329.816	1719.000
330.604	1714.000
331.393	1720.000
332.182	1713.000
332.970	1716.000
333.759	1712.000
334.547	1723.000
335.336	1715.000
336.124	1717.000
336.912	1717.000
337.700	1721.000
338.488	1715.000
339.276	1719.000
340.064	1717.000
340.852	1718.000
341.640	1718.000
342.428	1722.000
343.216	1722.000
344.003	1721.000
344.791	1716.000
345.578	1718.000
346.366	1719.000
347.153	1719.000
347.940	1718.000
348.728	1711.000
349.515	1710.000
350.302	1719.000
351.089	1717.000
351.876	1716.000
352.663	1720.000
353.450	1714.000
354.236	1718.000
355.023	1718.000
355.810	1718.000
356.596	1719.000
357.383	1715.000
358.169	1722.000
358.956	1715.000
359.742	1714.000
360.528	1718.000
361.314	1717.000
362.100	1721.000
362.886	1719.000
363.672	1720.000
364.458	1717.000
365.244	1710.000
366.030	1722.000
366.816	1716.000
367.601	1716.000
368.387	1717.000
369.172	1714.000
369.958	1717.000
370.743	1718.000
371.528	1716.000
372.314	1713.000
373.099	1719.000
373.884	1714.000
374.669	1715.000
375.454	1711.000
376.239	1716.000
377.024	1715.000
377.808	1712.000
378.593	1713.000
379.378	1720.000
380.162	1717.000
380.947	1713.000
381.731	1715.000
382.515	1720.000
383.300	1713.000
384.084	1720.000
384.868	1714.000
385.652	1717.000
386.436	1717.000
387.220	1717.000
388.004	1717.000
388.788	1718.000
389.572	1719.000
390.355	1713.000
