wavelength	counts
247.432	1720.000
248.227	1704.000
249.023	1703.000
249.818	1698.000
250.613	1710.000
251.408	1708.000
252.203	1713.000
252.999	1712.000
253.794	1710.000
254.588	1712.000
255.383	1715.000
256.178	1715.000
256.973	1711.000
257.768	1717.000
258.562	1715.000
259.357	1712.000
260.151	1713.000
260.946	1716.000
261.740	1713.000
262.534	1716.000
263.328	1711.000
264.123	1717.000
264.917	1718.000
265.711	1713.000
266.505	1714.000
267.299	1717.000
268.093	1713.000
268.886	1716.000
269.680	1718.000
270.474	1717.000
271.267	1716.000
272.061	1720.000
272.854	1720.000
273.648	1718.000
274.441	1718.000
275.234	1717.000
276.028	1709.000
276.821	1721.000
277.614	1717.000
278.407	1718.000
279.200	1721.000
279.993	1721.000
280.786	1718.000
281.578	1720.000
282.371	1716.000
283.164	1720.000
283.956	1721.000
284.749	1716.000
285.541	1715.000
286.334	1721.000
287.126	1719.000
287.918	1719.000
288.710	1715.000
289.503	1723.000
290.295	1713.000
291.087	1714.000
291.879	1719.000
292.670	1718.000
293.462	1717.000
294.254	1716.000
295.046	1721.000
295.837	1715.000
296.629	1714.000
297.420	1713.000
298.212	1713.000
299.003	1714.000
299.794	1714.000
300.586	1720.000
301.377	1716.000
302.168	1720.000
302.959	1721.000
303.750	1716.000
304.541	1714.000
305.332	1717.000
306.123	1711.000
306.913	1716.000
307.704	1719.000
308.494	1717.000
309.285	1714.000
310.075	1721.000
310.866	1718.000
311.656	1714.000
312.446	1715.000
313.237	1718.000
314.027	1718.000
314.817	1714.000
315.607	1712.000
316.397	1719.000
317.187	1717.000
317.976	1723.000
318.766	1719.000
319.556	1718.000
320.345	1718.000
321.135	1717.000
321.924	1723.000
322.714	1718.000
323.503	1719.000
324.293	1714.000
325.082	1720.000
325.871	1715.000
326.660	1718.000
327.449	1717.000
328.238	1722.000
329.027	1726.000
329.816	1717.000
330.604	1715.000
331.393	1715.000
332.182	1721.000
332.970	1714.000
333.759	1716.000
334.547	1723.000
335.336	1719.000
336.124	1713.000
336.912	1715.000
337.700	1715.000
338.488	1718.000
339.276	1722.000
340.064	1718.000
340.852	1718.000
341.640	1715.000
342.428	1717.000
343.216	1718.000
344.003	1719.000
344.791	1715.000
345.578	1717.000
346.366	1712.000
347.153	1723.000
347.940	1714.000
348.728	1717.000
349.515	1712.000
350.302	1725.000
351.089	1715.000
351.876	1718.000
352.663	1723.000
353.450	1709.000
354.236	1714.000
355.023	1717.000
355.810	1718.000
356.596	1716.000
357.383	1717.000
358.169	1713.000
358.956	1720.000
359.742	1713.000
360.528	1725.000
361.314	1717.000
362.100	1723.000
362.886	1714.000
363.672	1720.000
364.458	1713.000
365.244	1715.000
366.030	1719.000
366.816	1722.000
367.601	1715.000
368.387	1714.000
369.172	1714.000
369.958	1718.000
370.743	1715.000
371.528	1712.000
372.314	1713.000
373.099	1715.000
373.884	1721.000
374.669	1714.000
375.454	1717.000
376.239	1719.000
377.024	1722.000
377.808	1715.000
378.593	1716.000
379.378	1719.000
380.162	1716.000
380.947	1718.000
381.731	1714.000
382.515	1715.000
383.300	1711.000
384.084	1719.000
384.868	1715.000
385.652	1721.000
386.436	1717.000
387.220	1720.000
388.004	1715.000
388.788	1718.000
389.572	1715.000
390.355	1716.000
391.139	1716.000
391.922	1713.000
