wavelength	counts
247.432	1719.000
248.227	1709.000
249.023	1702.000
249.818	1705.000
250.613	1709.000
251.408	1702.000
252.203	1714.000
252.999	1711.000
253.794	1709.000
254.588	1714.000
255.383	1712.000
256.178	1713.000
256.973	1713.000
257.768	1713.000
258.562	1717.000
259.357	1713.000
260.151	1715.000
260.946	1713.000
261.740	1715.000
262.534	1718.000
263.328	1720.000
264.123	1714.000
264.917	1715.000
265.711	1713.000
266.505	1717.000
267.299	1715.000
268.093	1715.000
268.886	1715.000
269.680	1716.000
270.474	1717.000
271.267	1715.000
272.061	1720.000
272.854	1721.000
273.648	1714.000
274.441	1716.000
275.234	1718.000
276.028	1717.000
276.821	1719.000
277.614	1715.000
278.407	1714.000
279.200	1715.000
279.993	1714.000
280.786	1715.000
281.578	1716.000
282.371	1718.000
283.164	1720.000
283.956	1712.000
284.749	1715.000
285.541	1716.000
286.334	1717.000
287.126	1716.000
287.918	1717.000
288.710	1714.000
289.503	1717.000
290.295	1716.000
291.087	1712.000
291.879	1717.000
292.670	1717.000
293.462	1720.000
294.254	1712.000
295.046	1718.000
295.837	1723.000
296.629	1715.000
297.420	1714.000
298.212	1717.000
299.003	1719.000
299.794	1711.000
300.586	1716.000
301.377	1717.000
302.168	1715.000
302.959	1718.000
303.750	1716.000
304.541	1720.000
305.332	1721.000
306.123	1711.000
306.913	1721.000
307.704	1716.000
308.494	1717.000
309.285	1713.000
310.075	1715.000
310.866	1720.000
311.656	1717.000
312.446	1713.000
313.237	1715.000
314.027	1713.000
314.817	1712.000
315.607	1716.000
316.397	1714.000
317.187	1717.000
317.976	1722.000
318.766	1716.000
319.556	1718.000
320.345	1718.000
321.135	1712.000
321.924	1723.000
322.714	1718.000
323.503	1720.000
324.293	1716.000
325.082	1716.000
325.871	1718.000
326.660	1716.000
327.449	1719.000
328.238	1714.000
329.027	1726.000
329.816	1712.000
330.604	1718.000
331.393	1713.000
332.182	1725.000
332.970	1716.000
333.759	1714.000
334.547	1717.000
335.336	1715.000
336.124	1715.000
336.912	1719.000
337.700	1724.000
338.488	1715.000
339.276	1720.000
340.064	1715.000
340.852	1722.000
341.640	1714.000
342.428	1721.000
343.216	1722.000
344.003	1719.000
344.791	1712.000
345.578	1720.000
346.366	1724.000
347.153	1724.000
347.940	1719.000
348.728	1715.000
349.515	1717.000
350.302	1721.000
351.089	1717.000
351.876	1722.000
352.663	1721.000
353.450	1713.000
354.236	1717.000
355.023	1717.000
355.810	1722.000
356.596	1716.000
357.383	1719.000
358.169	1711.000
358.956	1716.000
359.742	1712.000
360.528	1719.000
361.314	1720.000
362.100	1720.000
362.886	1718.000
363.672	1715.000
364.458	1713.000
365.244	1720.000
366.030	1713.000
366.816	1715.000
367.601	1713.000
368.387	1714.000
369.172	1722.000
369.958	1715.000
370.743	1720.000
371.528	1715.000
372.314	1714.000
373.099	1718.000
373.884	1716.000
374.669	1719.000
375.454	1716.000
376.239	1716.000
377.024	1718.000
377.808	1717.000
378.593	1713.000
379.378	1719.000
380.162	1711.000
380.947	1711.000
381.731	1715.000
382.515	1714.000
383.300	1715.000
384.084	1718.000
384.868	1713.000
385.652	1720.000
386.436	1716.000
387.220	1715.000
388.004	1718.000
388.788	1718.000
389.572	1716.000
390.355	1717.000
391.139	1713.000
391.922	1711.000
392.706	1718.000
393.489	1712.000
394.273	1713.000
395.056	1711.000
395.839	1714.000
396.622	1717.000
397.405	1716.000
398.188	1715.000
398.971	1714.000
399.754	1717.000
400.537	1719.000
401.319	1716.000
402.102	1715.000
402.885	1728.000
403.667	1738.000
404.450	1772.000
405.232	1784.000
406.014	1749.000
406.797	1718.000
407.579	1717.000
408.361	1711.000
409.143	1716.000
409.925	1715.000
410.707	1717.000
411.488	1717.000
412.270	1714.000
413.052	1714.000
413.833	1715.000
414.615	1715.000
415.397	1713.000
416.178	1719.000
416.959	1714.000
417.741	1714.000
418.522	1714.000
419.303	1712.000
420.084	1716.000
420.865	1721.000
421.646	1714.000
422.427	1711.000
423.207	1717.000
423.988	1717.000
424.769	1712.000
425.549	1716.000
426.330	1718.000
427.110	1711.000
427.891	1718.000
428.671	1713.000
429.451	1721.000
430.231	1713.000
431.011	1721.000
431.791	1716.000
432.571	1717.000
433.351	1716.000
434.131	1714.000
434.911	1715.000
435.690	1714.000
436.470	1719.000
437.250	1715.000
438.029	1719.000
438.808	1717.000
439.588	1721.000
440.367	1719.000
441.146	1717.000
