wavelength	counts
247.432	1719.000
248.227	1705.000
249.023	1699.000
249.818	1700.000
250.613	1713.000
251.408	1707.000
252.203	1709.000
252.999	1709.000
253.794	1711.000
254.588	1709.000
255.383	1713.000
256.178	1710.000
256.973	1715.000
257.768	1714.000
258.562	1718.000
259.357	1717.000
260.151	1720.000
260.946	1711.000
261.740	1716.000
262.534	1713.000
263.328	1714.000
264.123	1719.000
264.917	1715.000
265.711	1716.000
266.505	1715.000
267.299	1715.000
268.093	1712.000
268.886	1716.000
269.680	1717.000
270.474	1722.000
271.267	1714.000
272.061	1717.000
272.854	1716.000
273.648	1711.000
274.441	1717.000
275.234	1716.000
276.028	1722.000
276.821	1722.000
277.614	1721.000
278.407	1720.000
279.200	1717.000
279.993	1714.000
280.786	1715.000
281.578	1716.000
282.371	1723.000
283.164	1715.000
283.956	1717.000
284.749	1716.000
285.541	1721.000
286.334	1718.000
287.126	1713.000
287.918	1715.000
288.710	1719.000
289.503	1716.000
290.295	1716.000
291.087	1713.000
291.879	1716.000
292.670	1718.000
293.462	1715.000
294.254	1718.000
295.046	1718.000
295.837	1715.000
296.629	1724.000
297.420	1716.000
298.212	1714.000
299.003	1719.000
299.794	1716.000
300.586	1720.000
301.377	1716.000
302.168	1719.000
302.959	1718.000
303.750	1714.000
304.541	1716.000
305.332	1716.000
306.123	1717.000
306.913	1713.000
307.704	1721.000
308.494	1716.000
309.285	1715.000
310.075	1718.000
310.866	1720.000
311.656	1721.000
312.446	1721.000
313.237	1719.000
314.027	1710.000
314.817	1716.000
315.607	1718.000
316.397	1715.000
317.187	1718.000
317.976	1719.000
318.766	1715.000
319.556	1714.000
320.345	1716.000
321.135	1720.000
321.924	1719.000
322.714	1723.000
323.503	1719.000
324.293	1710.000
325.082	1717.000
325.871	1718.000
326.660	1721.000
327.449	1719.000
328.238	1721.000
329.027	1727.000
329.816	1715.000
330.604	1718.000
331.393	1721.000
332.182	1717.000
332.970	1716.000
333.759	1717.000
334.547	1720.000
335.336	1714.000
336.124	1712.000
336.912	1713.000
337.700	1720.000
338.488	1713.000
339.276	1718.000
340.064	1712.000
340.852	1719.000
341.640	1718.000
342.428	1714.000
343.216	1724.000
344.003	1726.000
344.791	1717.000
345.578	1718.000
346.366	1716.000
347.153	1718.000
347.940	1716.000
348.728	1717.000
349.515	1717.000
350.302	1716.000
351.089	1718.000
351.876	1717.000
352.663	1720.000
353.450	1708.000
354.236	1717.000
355.023	1720.000
355.810	1714.000
356.596	1716.000
357.383	1717.000
358.169	1717.000
358.956	1719.000
359.742	1715.000
360.528	1721.000
361.314	1714.000
362.100	1717.000
362.886	1717.000
363.672	1718.000
364.458	1718.000
365.244	1718.000
366.030	1716.000
366.816	1719.000
367.601	1713.000
368.387	1710.000
369.172	1711.000
369.958	1713.000
370.743	1714.000
371.528	1712.000
372.314	1711.000
373.099	1717.000
373.884	1714.000
374.669	1719.000
375.454	1712.000
376.239	1720.000
377.024	1713.000
377.808	1709.000
378.593	1714.000
379.378	1718.000
380.162	1721.000
380.947	1713.000
381.731	1720.000
382.515	1718.000
383.300	1718.000
384.084	1715.000
384.868	1720.000
385.652	1716.000
386.436	1714.000
387.220	1718.000
388.004	1718.000
388.788	1721.000
389.572	1717.000
390.355	1717.000
391.139	1715.000
391.922	1715.000
392.706	1719.000
393.489	1716.000
394.273	1711.000
395.056	1713.000
395.839	1712.000
396.622	1713.000
397.405	1719.000
398.188	1718.000
398.971	1717.000
399.754	1723.000
400.537	1713.000
401.319	1723.000
402.102	1715.000
402.885	1725.000
403.667	1733.000
404.450	1778.000
405.232	1786.000
406.014	1745.000
406.797	1724.000
407.579	1714.000
408.361	1718.000
409.143	1720.000
409.925	1719.000
410.707	1715.000
411.488	1721.000
412.270	1720.000
413.052	1719.000
413.833	1716.000
414.615	1714.000
415.397	1712.000
416.178	1715.000
416.959	1713.000
417.741	1719.000
418.522	1717.000
419.303	1706.000
420.084	1715.000
420.865	1720.000
421.646	1716.000
422.427	1715.000
423.207	1720.000
423.988	1716.000
424.769	1717.000
425.549	1713.000
426.330	1720.000
427.110	1713.000
427.891	1718.000
428.671	1718.000
429.451	1717.000
430.231	1715.000
431.011	1713.000
431.791	1716.000
432.571	1710.000
433.351	1719.000
434.131	1716.000
434.911	1713.000
435.690	1713.000
436.470	1719.000
437.250	1713.000
438.029	1714.000
438.808	1716.000
439.588	1722.000
440.367	1719.000
441.146	1715.000
441.925	1719.000
442.704	1721.000
443.483	1714.000
444.262	1715.000
445.041	1719.000
445.820	1712.000
446.598	1719.000
447.377	1715.000
448.156	1719.000
448.934	1724.000
449.712	1728.000
450.491	1722.000
451.269	1730.000
452.047	1727.000
452.825	1724.000
453.603	1729.000
454.381	1732.000
455.159	1722.000
455.937	1729.000
456.715	1728.000
457.493	1727.000
458.270	1726.000
459.048	1721.000
459.825	1728.000
460.603	1719.000
461.380	1729.000
462.157	1721.000
462.934	1728.000
463.712	1720.000
464.489	1725.000
465.266	1727.000
466.043	1723.000
466.819	1716.000
467.596	1722.000
468.373	1718.000
469.150	1722.000
469.926	1721.000
470.703	1717.000
471.479	1719.000
472.255	1722.000
473.032	1719.000
473.808	1717.000
474.584	1722.000
475.360	1713.000
476.136	1720.000
476.912	1719.000
477.688	1720.000
478.464	1717.000
479.239	1715.000
480.015	1713.000
480.790	1718.000
481.566	1718.000
482.341	1720.000
483.117	1722.000
483.892	1714.000
484.667	1717.000
485.442	1713.000
486.217	1722.000
486.992	1714.000
487.767	1722.000
488.542	1715.000
489.317	1715.000
490.091	1715.000
490.866	1714.000
491.641	1718.000
492.415	1718.000
493.190	1716.000
493.964	1721.000
494.738	1717.000
495.512	1714.000
496.286	1716.000
497.060	1710.000
497.834	1718.000
498.608	1710.000
499.382	1720.000
500.156	1716.000
500.930	1721.000
501.703	1718.000
502.477	1725.000
503.250	1719.000
504.024	1718.000
504.797	1720.000
505.570	1720.000
506.343	1720.000
507.116	1718.000
507.889	1719.000
508.662	1717.000
509.435	1720.000
510.208	1717.000
510.981	1724.000
511.754	1717.000
512.526	1718.000
513.299	1723.000
514.071	1717.000
514.843	1725.000
515.616	1728.000
516.388	1724.000
517.160	1727.000
517.932	1723.000
518.704	1723.000
519.476	1724.000
520.248	1720.000
521.020	1724.000
521.791	1725.000
522.563	1720.000
523.335	1723.000
524.106	1725.000
524.878	1721.000
525.649	1725.000
526.420	1723.000
527.191	1727.000
527.963	1722.000
528.734	1722.000
529.505	1726.000
530.275	1721.000
531.046	1721.000
531.817	1722.000
532.588	1723.000
533.358	1721.000
534.129	1730.000
534.899	1724.000
535.670	1731.000
536.440	1725.000
537.210	1729.000
537.980	1723.000
538.750	1730.000
539.520	1724.000
540.290	1725.000
541.060	1725.000
541.830	1727.000
542.600	1727.000
543.369	1728.000
544.139	1729.000
544.909	1728.000
545.678	1727.000
546.447	1731.000
547.217	1730.000
547.986	1727.000
548.755	1728.000
549.524	1724.000
550.293	1737.000
551.062	1733.000
551.831	1729.000
552.599	1724.000
553.368	1723.000
554.137	1730.000
554.905	1728.000
555.674	1730.000
556.442	1728.000
557.210	1726.000
557.979	1725.000
558.747	1724.000
559.515	1726.000
560.283	1729.000
561.051	1720.000
561.819	1726.000
562.586	1732.000
563.354	1727.000
564.122	1724.000
564.889	1732.000
565.657	1725.000
566.424	1730.000
567.191	1732.000
567.959	1727.000
568.726	1726.000
569.493	1730.000
570.260	1727.000
571.027	1723.000
571.794	1729.000
572.561	1730.000
573.327	1736.000
574.094	1732.000
574.860	1723.000
575.627	1724.000
576.393	1728.000
577.160	1724.000
577.926	1736.000
578.692	1727.000
579.458	1727.000
580.224	1731.000
580.990	1728.000
581.756	1735.000
582.522	1728.000
583.288	1731.000
584.053	1726.000
584.819	1735.000
585.585	1728.000
586.350	1731.000
587.115	1727.000
587.881	1730.000
588.646	1723.000
589.411	1726.000
590.176	1732.000
590.941	1729.000
591.706	1725.000
592.471	1729.000
593.235	1727.000
594.000	1727.000
594.765	1724.000
595.529	1725.000
596.294	1740.000
597.058	1726.000
597.822	1726.000
598.587	1722.000
599.351	1731.000
600.115	1722.000
600.879	1724.000
601.643	1723.000
602.406	1727.000
603.170	1725.000
603.934	1721.000
604.698	1725.000
605.461	1724.000
606.224	1725.000
606.988	1727.000
607.751	1727.000
608.514	1722.000
609.278	1725.000
610.041	1723.000
610.804	1729.000
611.566	1734.000
612.329	1732.000
613.092	1727.000
613.855	1723.000
614.617	1724.000
615.380	1728.000
616.142	1719.000
616.905	1723.000
617.667	1726.000
618.429	1728.000
619.191	1728.000
619.953	1721.000
620.715	1725.000
621.477	1724.000
622.239	1726.000
623.001	1725.000
623.763	1728.000
624.524	1722.000
625.286	1722.000
626.047	1724.000
626.808	1720.000
627.570	1726.000
628.331	1722.000
629.092	1723.000
629.853	1721.000
630.614	1728.000
631.375	1724.000
632.136	1731.000
632.896	1726.000
633.657	1719.000
634.418	1724.000
635.178	1722.000
635.939	1723.000
636.699	1724.000
637.459	1723.000
638.219	1726.000
638.980	1713.000
639.740	1726.000
640.500	1720.000
641.260	1718.000
642.019	1723.000
642.779	1719.000
643.539	1723.000
644.298	1721.000
645.058	1717.000
645.817	1721.000
646.576	1728.000
647.336	1720.000
648.095	1718.000
648.854	1718.000
649.613	1721.000
650.372	1722.000
651.131	1720.000
651.890	1723.000
652.648	1719.000
653.407	1716.000
654.165	1718.000
654.924	1718.000
655.682	1721.000
656.441	1727.000
657.199	1717.000
657.957	1723.000
658.715	1721.000
659.473	1724.000
660.231	1728.000
660.989	1722.000
661.747	1716.000
662.504	1731.000
663.262	1719.000
664.019	1724.000
664.777	1724.000
665.534	1724.000
666.291	1724.000
667.049	1719.000
667.806	1727.000
668.563	1724.000
669.320	1726.000
670.077	1722.000
670.833	1723.000
671.590	1723.000
672.347	1723.000
673.103	1721.000
673.860	1725.000
674.616	1730.000
675.373	1723.000
676.129	1723.000
676.885	1724.000
677.641	1723.000
678.397	1725.000
679.153	1724.000
679.909	1725.000
680.665	1729.000
681.420	1725.000
682.176	1723.000
682.931	1723.000
683.687	1732.000
684.442	1722.000
685.198	1730.000
685.953	1726.000
686.708	1728.000
687.463	1733.000
688.218	1725.000
688.973	1725.000
689.728	1725.000
690.482	1727.000
691.237	1727.000
691.992	1741.000
692.746	1730.000
693.500	1735.000
694.255	1732.000
695.009	1737.000
695.763	1731.000
696.517	1732.000
697.271	1731.000
698.025	1735.000
698.779	1734.000
699.533	1731.000
700.286	1737.000
701.040	1738.000
701.794	1737.000
702.547	1739.000
703.300	1735.000
704.054	1744.000
704.807	1742.000
705.560	1751.000
706.313	1745.000
707.066	1746.000
707.819	1752.000
708.572	1751.000
709.324	1755.000
710.077	1753.000
710.829	1753.000
711.582	1760.000
712.334	1771.000
713.087	1767.000
713.839	1766.000
714.591	1771.000
715.343	1768.000
716.095	1779.000
716.847	1771.000
717.599	1772.000
718.350	1776.000
719.102	1781.000
719.854	1786.000
720.605	1788.000
721.357	1789.000
722.108	1796.000
722.859	1798.000
723.610	1808.000
724.361	1807.000
725.112	1807.000
725.863	1813.000
726.614	1814.000
727.365	1821.000
728.116	1816.000
728.866	1838.000
729.617	1842.000
730.367	1846.000
731.117	1847.000
731.868	1860.000
732.618	1861.000
733.368	1863.000
734.118	1875.000
734.868	1886.000
735.618	1885.000
736.368	1889.000
737.117	1889.000
737.867	1903.000
738.616	1910.000
739.366	1917.000
740.115	1932.000
740.864	1929.000
741.614	1961.000
742.363	1962.000
743.112	1960.000
743.861	1960.000
744.610	1974.000
745.358	1989.000
746.107	1994.000
746.856	2006.000
747.604	2008.000
748.353	2009.000
749.101	2035.000
749.849	2040.000
750.598	2036.000
751.346	2059.000
752.094	2056.000
752.842	2065.000
753.589	2060.000
754.337	2079.000
755.085	2081.000
755.833	2101.000
756.580	2087.000
757.328	2105.000
758.075	2108.000
758.822	2119.000
759.569	2111.000
760.317	2119.000
761.064	2133.000
761.811	2155.000
762.557	2152.000
763.304	2160.000
764.051	2165.000
764.798	2175.000
765.544	2168.000
766.291	2184.000
767.037	2168.000
767.783	2166.000
768.529	2179.000
769.276	2171.000
770.022	2185.000
770.768	2202.000
771.513	2184.000
772.259	2174.000
