Fit-Time_MAPI_1pct_APA_S1_30_tube_5min,Peak1Area_MAPI_1pct_APA_S1_30_tube_5min,Peak1Amplitude_MAPI_1pct_APA_S1_30_tube_5min,Peak1Pos_MAPI_1pct_APA_S1_30_tube_5min,Peak1FWHM_MAPI_1pct_APA_S1_30_tube_5min,Peak1Alpha_MAPI_1pct_APA_S1_30_tube_5min
0.0,1.660769247077868e-15,1.250232776708559,1.6149400124192907,8.004983668707943e-05,0.33284383293648817
0.4995947521865891,3.3165347662383993,3.115472065564607,1.4000000000000257,0.700379531821741,2.117871016307821e-12
0.9991895043731778,1.730394677139141e-27,6.848949481811177e-06,1.7618066649282196,8.004983628895346e-05,7.559239725658527e-05
1.4987842565597669,1.0930916164361345e-27,2.8872703765597113e-08,1.7999944839614197,8.004983628895346e-05,1.719470761531606e-08
1.998379008746356,5.829970987287481e-24,5.948842366418464e-09,1.5331360827084781,8.004983629450457e-05,1.8243083466692313e-05
2.4979737609329447,8.702389193296064e-12,0.005219279941239033,1.4715078799055015,0.0014077201635254166,3.521311892124489e-05
2.9975685131195333,7.202838451435015e-26,0.0013266364467749106,1.6886058609053576,8.004983628895346e-05,5.027877427151808e-07
3.497163265306122,2.6079178566676486e-19,0.0006923925056023982,1.6385174572351417,8.004983642484476e-05,0.000932125073511223
3.9967580174927115,3.867561872238521e-09,1.2043492638732762e-05,1.78732806345044,0.0036477128657543822,0.9750088952782087
4.4963527696793,8.151648222190429e-22,0.00029838597576615713,1.6177008578644314,8.004983628961959e-05,0.00010110073451262411
4.995947521865888,6.525094485815299e-24,0.0007257024040736998,1.4479148831272768,8.004983628895346e-05,0.0001583698708184777
5.495542274052479,2.7413185804089757e-21,2.7466223228510157e-05,1.6818535402712442,8.004983634180007e-05,0.9843583086794883
5.9951370262390675,1.788136490719299e-20,0.0005809653018378066,1.7286959002071471,8.00498362996116e-05,3.0752919900671776e-05
6.494731778425654,2.4775964723901807e-24,0.00013478947923713827,1.6742723162171897,8.004983628895346e-05,4.762085942185014e-07
6.994326530612243,3.6909408644195683,3.4671799974128534,1.400000000000001,0.7003795385352918,1.0459307822898308e-09
7.493921282798832,3.536485357597068e-29,3.738098987467187e-09,1.4000017699017748,8.004983628895346e-05,9.361276238166179e-10
7.99351603498542,4.450065047610543e-21,2.6757733459591566e-05,1.5909707359500844,8.00498363220381e-05,0.4825052137585467
8.493110787172009,2.220522307226651e-24,8.387967942113613e-08,1.7999342202269764,8.00498362911739e-05,1.3426895783915011e-08
8.9927055393586,8.294072291929143e-18,0.00042219964623702543,1.5314382217705393,8.004983637355245e-05,7.19183897758931e-05
9.492300291545188,2.3816566317056924e-25,0.0004523524431843999,1.5969481752883774,8.004983628895346e-05,0.6341202258974336
9.991895043731777,3.615078447629118e-22,2.0406160937153843e-05,1.4948654529630558,8.004983628961959e-05,7.451519406263824e-09
10.491489795918366,5.354172926295978e-26,0.0005518038436291809,1.5663811855281344,8.004983628895346e-05,5.584017229880976e-05
10.991084548104954,7.300883887936363e-11,0.0012745052051493521,1.6707894228126343,0.002367797829767815,0.0016719466862389189
11.490679300291543,8.179540736146589e-21,4.268491783354195e-06,1.4088125215911327,8.004983698128854e-05,1.7282175058081729e-06
11.990274052478131,6.537114033089905e-27,0.0009658104347508179,1.7120693682137489,8.004983628895346e-05,0.00038966742884502254
12.489868804664722,4.0973512900763026e-20,2.5765075842672713e-07,1.7979721996252935,8.047933848498445e-05,3.7523677332677603e-06
