Fit-Time_MAPI_1pct_ABA_S1_30_tube_5min,Peak1Area_MAPI_1pct_ABA_S1_30_tube_5min,Peak1Amplitude_MAPI_1pct_ABA_S1_30_tube_5min,Peak1Pos_MAPI_1pct_ABA_S1_30_tube_5min,Peak1FWHM_MAPI_1pct_ABA_S1_30_tube_5min,Peak1Alpha_MAPI_1pct_ABA_S1_30_tube_5min
0.0,1.2433451878924873e-18,2.3765237708675584,1.6674281954567958,0.030214333892119694,9.408678556747942e-17
0.999271137026239,5.4514789933070086e-17,1.8979855551353921,1.6678750691409265,0.028160875283788078,5.94399166382965e-15
1.998542274052478,1.495716583604408e-27,1.8016977071187548,1.6089738985355877,0.013407460704434326,4.760670749009413e-25
2.997813411078717,1.160133941755508e-21,1.2393113522912385e-11,1.500000100403004,7.01145983466045e-05,0.9999999487518926
3.9970845481049566,8.005555561930568e-18,2.578371806741273e-08,1.502,7.011928034250658e-05,0.004995514076493319
4.996355685131196,0.0020788134619396403,0.3213179762742856,1.6720292126243093,0.006071964269142693,0.005560724578188043
5.995626822157433,6.527792889267417e-16,1.709448555433228e-05,1.863627569242792,7.011178731142209e-05,0.09006514809437842
6.994897959183673,0.005908366783162642,0.3837484910152639,1.787455648749481,0.014455647498756496,0.0032609792115066588
7.994169096209912,0.0014146467389705842,0.24935243270314897,1.6714954749000963,0.0053199792651261735,0.010462887808665155
8.993440233236152,1.0968039992605196e-13,0.06856946231581382,1.8122965133392535,7.011109720123088e-05,0.00011957413248538428
9.99271137026239,1.7765081421616695e-10,1.258579157399984e-05,1.5384903623480062,0.0017720688821074582,0.022797195379797984
10.991982507288629,0.011946837727947223,0.700715221368706,1.7879604798468587,0.01585683317310349,0.05691805809158725
11.991253644314869,nan,nan,nan,nan,nan
12.990524781341106,nan,nan,nan,nan,nan
13.989795918367346,6.81887058757457e-14,7.50477350837963e-13,1.8999999957445606,0.07583181812029238,1.2011686406352197e-08
14.989067055393585,0.0076095434775703815,0.48890031269397816,1.7867227761985478,0.014500456719020338,0.0472632354346347
15.988338192419823,0.004370081172453453,0.26041602786191853,1.7867706130229726,0.0135678374513728,0.9128078722928497
16.987609329446066,1.004423949883166e-08,0.2968292048090895,1.787130758459293,0.013609014684305087,1.6215314637283712e-05
17.986880466472304,3.677709252483296e-13,3.4836785602848036e-07,1.5007456479541368,0.00011148715026942924,0.9437526371312392
