Original_Frame_Index,Frame Index,Crystallite_Domain_Size_nm,Peak_Center_q_A_inv,Measured_FWHM_q_A_inv
66,65,33.96316243835981,0.9555795976608216,0.016918112264595272
67,66,37.67121479697912,0.9555900309164851,0.01530795108582409
68,67,39.43863899057166,0.9557284759191278,0.014648873463995975
69,68,40.79560089335202,0.9559458441801559,0.014182388124708909
70,69,43.01112137226433,0.9561201663086097,0.013485381297053447
71,70,46.157042489417506,0.9562009567550244,0.0126133220349588
72,71,44.829110329707426,0.9567565468864441,0.012966106074295719
73,72,44.39244015148101,0.9573441745677023,0.013086852070109723
74,73,45.76285917083551,0.9573651971863035,0.012715846935982496
75,74,48.8993719421766,0.956800801154606,0.01194708662119371
76,75,51.094609875056825,0.9566439267415551,0.01146683445851858
77,76,68.15847003608766,0.9560723241289278,0.008822376660799273
78,77,68.63180490198644,0.9558603737100837,0.008768588300736927
79,78,69.66392443944056,0.9556607785380861,0.008653983038536917
80,79,68.80534622279326,0.9555031693185954,0.008749063766043891
81,80,63.400144621996105,0.9553367291649937,0.009410335268501255
82,81,67.58241573715267,0.9555476634132385,0.00888891340883119
83,82,59.350083664641566,0.9552598579694561,0.009989118517953907
84,83,56.80685072733813,0.9550762180324107,0.010396782210402333
85,84,55.46364653476204,0.9547390567105333,0.01062783229566597
86,85,55.042260752402605,0.954702590650701,0.010702735147624922
87,86,54.64901274848457,0.954618651608456,0.010773719659536963
88,87,54.648021016862245,0.9544146117157352,0.010773900017146733
89,88,55.15764285090065,0.9542866566331575,0.010682107275736546
90,89,54.11211040824096,0.9541142895950296,0.010872365954678415
91,90,52.61834094225721,0.954131088733239,0.011157819395926406
92,91,52.582286593220104,0.9540868152194315,0.011164917135726142
93,92,52.323506453106994,0.9539350846345483,0.01121615860767715
94,93,54.004643833614125,0.9540853106447428,0.010892355682821885
95,94,53.47142751802617,0.9538833867238183,0.010992772189808852
96,95,51.724812040823075,0.953897730451354,0.01133674299414568
97,96,52.605286706152945,0.9537203443229347,0.011160388117852044
98,97,53.46673160117042,0.9536068042516254,0.010993665767161194
99,98,52.509079009108305,0.9536674068001085,0.011179360016257134
100,99,52.8129032160747,0.9535937575497572,0.011119690723406649
101,100,52.37445899030979,0.9534960517635096,0.011206027939970584
102,101,51.82778759395016,0.9535368318213673,0.011315797056547262
103,102,51.936528801451644,0.953541058253601,0.011293771673135635
104,103,51.398700016099006,0.9535475516933456,0.01140364962988357
105,104,51.53456389595205,0.9533365215149474,0.011375668689354865
106,105,51.0492771236624,0.9535158628905529,0.011476320536866482
107,106,50.80607821345477,0.9534543248142353,0.011527509879527678
108,107,51.32528187207648,0.9533874283842817,0.011418833768047565
109,108,50.50904289038332,0.9533992043339967,0.011590722366382112
110,109,50.783463795703206,0.9534546461379504,0.01153229560238668
111,110,51.198600148711684,0.9533945435998049,0.011445139669799273
112,111,50.3805982708177,0.9534653742442418,0.011618295464647984
113,112,50.435749354391874,0.9534527373185503,0.011606438448221342
114,113,50.92229180102609,0.9533694475029312,0.011502985770528785
115,114,48.981581940480304,0.9535991829487965,0.011928300159330519
116,115,50.53678641681351,0.9534235082006101,0.011584785708465498
117,116,50.36775247913171,0.9533407560092224,0.011621061053986859
118,117,51.37817714958479,0.9533792473444149,0.011407889591740805
119,118,50.48725167541343,0.9534330284763011,0.01159539005595591
120,119,50.02317886540366,0.9534704286176984,0.011695792535678602
121,120,51.172271639443025,0.9534237137778273,0.011450623787040754
122,121,50.18832280245228,0.9534994135761002,0.011659843659416856
123,122,50.7235829645868,0.9534339225340112,0.01154498904942059
124,123,50.050598333606075,0.9534277974551048,0.011689806842535504
125,124,50.66651749272369,0.9532833328964613,0.011557114565690179
126,125,51.1524772255513,0.9533372900070471,0.011454750725172798
127,126,50.822692047445045,0.9533004902163545,0.011523996821694846
128,127,50.9411327705988,0.9533661272684147,0.01149902073141286
129,128,50.13645089652059,0.9533147229825186,0.011671108891394036
130,129,50.52957652673252,0.9533529829614628,0.011586327858291676
131,130,49.89997478565903,0.9534197643390918,0.011722771947730614
132,131,49.88140290071042,0.9533854381316571,0.011726850785245152
133,132,50.47168358938596,0.9532508233393283,0.011598727299074331
134,133,50.10935750126217,0.9532659105013498,0.011677002452782366
135,134,50.92774258112572,0.9532882415109161,0.011501838354413443
136,135,50.873434482204615,0.9532318035692772,0.011513281829809756
137,136,50.18315729650346,0.9532903367615122,0.011660964394654331
138,137,51.565804280807946,0.9531705189408075,0.011369256356839384
139,138,50.381153805105264,0.9532763579206661,0.011618175895730411
140,139,50.3979363144021,0.9531602634751566,0.011614565041885988
141,140,50.568897933811655,0.953326123129324,0.01157792277817078
142,141,50.45834833836739,0.9533011504416328,0.011601587594141378
143,142,51.115209977850995,0.9531067901904213,0.011462529546463235
144,143,50.3260076791457,0.9532374256329026,0.011630058427040032
145,144,50.03873876937594,0.9533169544251372,0.011692394963905822
146,145,50.649655544422906,0.9532048714116014,0.01156070287072792
147,146,50.83543666476657,0.9532679676568606,0.011521303533388849
148,147,51.08147208518191,0.9532648334716748,0.0114695818071044
149,148,50.1069640914706,0.9534702983036969,0.01167752340197985
150,149,50.94527931465751,0.9533237574341223,0.0114981485078074
151,150,50.26825257622201,0.953396188020858,0.011642532005302833
152,151,50.49243406437195,0.9533068150160715,0.011594279608178038
153,152,50.25386568517312,0.9533171249311836,0.011645643802924628
154,153,50.060142990051,0.9533363437222316,0.011687724825105748
155,154,50.744116935919074,0.9532021959811945,0.011540632800374146
156,155,50.287189644882375,0.9532928015960895,0.01163843883612543
157,156,50.55260192122866,0.9532549563959397,0.011581404464683705
158,157,50.07529698686255,0.9533207239782042,0.011684420901985536
159,158,49.43888509024383,0.9533212878989124,0.011824974561430054
160,159,49.30530103942495,0.9534129105209941,0.011854952790051197
161,160,50.34335596119414,0.9532169405042866,0.011626317431153159
162,161,50.62476792823168,0.953254575682977,0.01156600359195424
163,162,51.226418242028764,0.9530090078802587,0.011439351613489508
164,163,50.99755367503413,0.9531367542000151,0.01148716519978564
165,164,50.156050987402146,0.9533158291131272,0.011666849430840044
166,165,50.076870124152165,0.9533771731420334,0.01168407803987496
167,166,50.86764405123379,0.9531835984708414,0.011514503445063775
168,167,49.87582225027886,0.9533323318073219,0.011728077044727097
169,168,49.0236030541731,0.9533992453473825,0.011918722682052962
170,169,50.0804712050447,0.9532910012208262,0.011683293275293744
171,170,50.329288556236634,0.9533318855061766,0.011629350732039266
172,171,50.61235794468039,0.9532789861393995,0.011568648761770692
173,172,50.84228679350673,0.953279939985532,0.011519856489531652
174,173,50.68000432415212,0.9532142874733598,0.011554246278592925
175,174,51.20784872614418,0.9530693398286056,0.011443214614561593
176,175,52.013239627694894,0.9530445819146746,0.011278291349388053
177,176,49.43536954432828,0.9533375343398703,0.011825761359321252
178,177,51.36690094523156,0.9530921074703023,0.01141022071335685
179,178,52.43480948956335,0.9530371628519669,0.011194055099506557
180,179,51.53460062980814,0.9531052644525342,0.01137566114472037
181,180,52.078615487928474,0.9530353332475193,0.011265135699303548
182,181,52.17061951429706,0.9529510530216476,0.011246679464612712
183,182,51.60761160413314,0.953114567509858,0.011360687646741582
184,183,51.689884876384454,0.9530608168637084,0.011343867038985276
185,184,51.33001848012286,0.9530376062118687,0.011417852799770492
186,185,52.03829617409847,0.9528927285525487,0.011273245150327611
187,186,50.92151479137575,0.9531294808278085,0.01150314935558
188,187,52.02071479501956,0.9529927402494192,0.01127678538038808
189,188,52.311825960554586,0.9529335446101105,0.011218483868518772
190,189,51.302387831418514,0.9529956085699982,0.011423577846635563
191,190,51.883077468731265,0.9529948140840704,0.011304586224100297
192,191,50.28346766309012,0.9531735543299633,0.01163924307560523
193,192,51.671285433485465,0.9529291325775435,0.011347664808758547
194,193,50.73638232296277,0.9529883870232153,0.01154227325816316
195,194,52.742592771359604,0.952783158045337,0.011133435933312385
196,195,52.080190046518126,0.9528774064814391,0.011264819271040312
197,196,52.49671849365774,0.9529086956794822,0.011181802699298112
198,197,51.59964016390446,0.9529114943248164,0.011362320341788489
199,198,51.95633772813234,0.9529033108345277,0.011289769678687944
200,199,52.707006637402856,0.9528884507118163,0.011140407264024575
201,200,51.98720348400151,0.952832761750014,0.011283540167599717
202,201,51.43742925546817,0.9529263538403161,0.011395657822476833
203,202,52.01206921000596,0.9528632080632403,0.01127852718572893
204,203,51.81097484139512,0.9529276428528054,0.011319210999610417
205,204,51.83904135617915,0.9528892498337425,0.011313513184734501
206,205,52.24741073098245,0.9528136450250857,0.011231326491632682
207,206,52.73557137146993,0.9528566724902907,0.011134810654865346
208,207,53.17040919956361,0.9527070015595874,0.011050383528434144
209,208,53.80757793754651,0.9526463636003734,0.01092922701917607
210,209,58.05396492000019,0.9523896621340022,0.010192221443396706
211,210,51.4265539593565,0.9529150576912291,0.011397900690369054
212,211,53.832644005281466,0.9526682253703984,0.010924521567712236
213,212,53.921537412098736,0.9526776757475419,0.010907870919171213
214,213,53.036885657853475,0.9527790051277271,0.01107615548701774
215,214,52.995087578554845,0.9527856548239139,0.01108425078705539
216,215,52.06413186444962,0.9528992739472765,0.011268047303563187
217,216,51.49966495357489,0.9529493379717731,0.011382841488996546
218,217,55.34832072505945,0.9525576128189578,0.010648214036220627
219,218,52.304131587672046,0.952908889157575,0.011220016191609986
220,219,52.22270462411725,0.9529381273392353,0.01123626091535321
221,220,52.12272622860439,0.9528714727511172,0.01125627855639678
222,221,51.229393788973844,0.952978487722953,0.011438732882189207
223,222,51.661557366522175,0.952883997732457,0.011349652283600558
224,223,51.86559987452027,0.9530149174007234,0.01130812738798244
225,224,50.74660429862355,0.9530122039567817,0.011540105357843462
226,225,51.25646242093366,0.9530405955947397,0.011433107679316053
227,226,50.962066628874815,0.9530286110509072,0.011494618803996376
228,227,50.13018666531917,0.9531773971923029,0.011672470949730994
229,228,50.03992356349045,0.9531917631405533,0.011692136348447263
230,229,49.73183244382629,0.953177521140458,0.011759814793586567
231,230,50.1185150984003,0.9532253971884237,0.011675009686184795
232,231,51.3553540615644,0.9531226772519865,0.011412608889842132
233,232,50.53411058907618,0.9531318498219097,0.01158535799799798
234,233,49.763148202893746,0.9532867085051332,0.011752896140623645
235,234,51.022055279548866,0.9531425441989722,0.011482025205189266
236,235,50.915156206792595,0.9531651583374949,0.011504488232282832
237,236,50.41248149991798,0.9532949464783297,0.011611437570776838
238,237,50.346697334302554,0.9533210486296824,0.011625597201032041
239,238,50.47153867940416,0.9532439293769855,0.011598758372607224
240,239,49.84782958233846,0.953300538451561,0.01173423226815254
241,240,49.99487424237213,0.9533307654493476,0.011701978572563245
242,241,50.57496865201172,0.9532364879271896,0.011576626345908444
243,242,49.82295811745142,0.9533406383271251,0.011739707172124704
244,243,49.7016645619187,0.9533842666797361,0.011766488357254726
245,244,48.91035273854881,0.9535034718941701,0.011944573542146357
246,245,49.45527846293059,0.9533680253120396,0.01182130716185601
247,246,50.11344756592305,0.9533335521554488,0.011676112328930734
248,247,50.338719612263006,0.9533658518892966,0.011627316955859963
