Fit-Time_MAPI_1pct_AHA_S1_30_tube_5min,Peak1Area_MAPI_1pct_AHA_S1_30_tube_5min,Peak1Amplitude_MAPI_1pct_AHA_S1_30_tube_5min,Peak1Pos_MAPI_1pct_AHA_S1_30_tube_5min,Peak1FWHM_MAPI_1pct_AHA_S1_30_tube_5min,Peak1Alpha_MAPI_1pct_AHA_S1_30_tube_5min
0.0,2.8562499957983575e-16,1.9564722073686072,1.605210958046014,0.0010398823312596228,1.3053850534249083e-11
0.4993022578295705,1.8528468446425356e-08,0.00044081993180413153,1.468569485291822,0.0017989807955178794,0.4332246496040342
0.9986045156591408,5.083756971353837e-12,0.00763711906664069,1.5694097855140337,0.0009463159395102227,2.843133736199903e-05
1.497906773488711,5.130259079318614e-29,1.7791758325466508e-13,1.4566729187455407,8.004983635001572e-05,0.6960891253053167
1.9972090313182813,3.655679071809808e-15,0.010336255466019274,1.683140042145422,8.00499862174675e-05,0.002944367984502988
2.4965112891478523,8.535209194868042e-15,2.8241902305946217e-05,1.5765089168631319,0.000722003104610236,2.8435801743052554e-05
2.9958135469774225,5.2315214176199e-18,0.0008274567012276135,1.4675895353115722,8.004983712939229e-05,0.0005403414012031601
3.495115804806993,5.5362987519135594e-27,0.0002603279215156068,1.621865517520699,8.004983628895346e-05,2.0298864175686483e-05
3.994418062636563,9.722102877316731e-34,8.946967542325385e-11,1.684491744382655,8.004983628895346e-05,3.840129646604681e-11
4.493720320466133,1.0266180122599746e-32,0.0011011802659586952,1.6526524316730675,8.004983628895346e-05,3.5691616144450044e-13
4.993022578295704,1.298882376116677e-22,0.03165751143072342,1.6106967541193944,8.004983628895346e-05,0.00014365854419868813
5.492324836125274,5.996072459257264e-19,4.716617344618408e-05,1.6376434040797978,8.004984139531324e-05,0.5299100942308441
5.991627093954844,1.5484363795769866e-11,0.0836318019025785,1.7876382696569821,0.010441171485924938,6.835539330833565e-08
6.490929351784415,8.209749237488491e-14,0.0003266376972007806,1.6592719186882956,0.0017479586099580224,1.3173166233236697e-05
6.990231609613985,8.691993589224961e-12,0.0007359277795395845,1.4865561804239482,0.0023984368661467137,4.518189574141269e-05
7.489533867443556,4.629306091006824e-13,0.0003788267124065631,1.5046441749282706,0.0014255234673392625,3.314008516643403e-06
7.988836125273125,4.739324213126618e-24,0.00015398379155390752,1.5540518047429352,8.004983628895346e-05,1.4669511810976079e-05
8.488138383102696,9.963255724308542e-15,5.935976480117254e-05,1.4180093997139607,0.0032283319411072764,1.7638055764282802e-06
8.987440640932265,8.216468871563618e-25,1.7045086594496005e-06,1.6037665378562196,8.004983628895346e-05,7.9767271774808e-06
9.486742898761836,1.089879658060675e-28,0.00047179825106686765,1.7251126018975154,8.004983628895346e-05,6.174162005704619e-06
9.986045156591405,3.079947696805187e-29,0.002275092971026607,1.6418323641483454,8.004983628850937e-05,4.716206879920335e-06
10.485347414420977,8.874407969199426e-21,1.0363992621379402e-06,1.798,8.004998569943744e-05,6.161548766341421e-07
10.984649672250546,2.1683747265026215e-24,0.0006983690500308165,1.6982463409684205,8.004983628895346e-05,0.00015323553276765564
11.483951930080117,2.9276156802564032e-24,0.00023149069911238663,1.7023488536432732,8.004983628895346e-05,5.589271899929767e-05
11.983254187909687,2.5174067004002576e-27,1.7196722300609653e-08,1.4000624478882915,8.004983628895346e-05,2.9169251634730093e-09
12.482556445739258,1.8389161249221597e-26,2.2976540679938394e-08,1.7999990334788165,8.004983628895346e-05,1.2084937930033866e-08
12.981858703568827,1.2588897791443355e-11,0.0003918219967967101,1.6712047367533758,0.0023358776516240187,0.0009639584649415992
13.481160961398398,1.3587498537773465e-19,0.0004400225691649533,1.7789989426091948,8.00498363384694e-05,1.3972560210872599e-05
13.980463219227968,3.483423174003353e-13,0.000362035670450114,1.4454903086995545,0.0015855082782241237,3.0720319551151474e-05
14.47976547705754,1.2880380909564171e-21,0.0003879555162252632,1.7154362148681668,8.004983629006368e-05,7.484846260234556e-05
14.97906773488711,9.966125378085633e-24,0.0004767242638725885,1.7136153906199798,8.004983628895346e-05,0.00016126627047979985
15.47836999271668,3.3874446685981104e-23,0.0002404768268844248,1.4114243262917083,8.004983628895346e-05,6.440203070569954e-06
15.977672250546249,4.023733398054729e-20,0.00025594795233655724,1.4854342865214842,8.004983629872342e-05,1.4696851776298111e-05
16.47697450837582,3.1589921139706915e-13,0.13054722539251448,1.5856751058792833,0.0006423115349156738,3.7464769716888396e-07
16.97627676620539,2.062060789993698,2.7799532832152845,1.4000000000000004,0.5487656843958753,3.011780701340511e-11
17.47557902403496,2.972027862266101e-29,6.644982034845432e-14,1.799999999857667,8.004983633314033e-05,0.7356602233562924
17.97488128186453,1.1815205853994348e-20,1.8165425732533861e-06,1.4008495311583546,8.00498388469073e-05,3.073065264264075e-06
18.474183539694103,7.016004241398503e-24,1.3976056993214147e-07,1.7999902639584962,8.00498362931723e-05,1.530784379745638e-06
18.973485797523672,1.2164108242393007e-17,2.729192953657211e-06,1.4017625877754032,0.0008553552990766544,6.982033458133e-07
19.47278805535324,1.3489053924219203e-20,0.00011399572327597767,1.5109998087613887,8.004983628961959e-05,0.0017531780618055123
19.97209031318281,7.646704363535087e-27,0.000617102124189783,1.5611375106234955,8.004983628873141e-05,0.00026074548089342144
20.471392571012384,7.648753049040945e-19,0.001822717062377875,1.5906389645500856,8.004983636422658e-05,0.00025264064479550594
20.970694828841953,1.462282565969144e-21,0.0007633014784802524,1.6828856558415162,8.004983628961959e-05,0.00042786113321991234
21.469997086671523,2.0622229641623098,2.978804932428016,1.4000000000000004,0.5255323719073963,4.985200892713143e-29
21.969299344501092,1.4897475212783396e-30,0.00021988626053058682,1.417189905845243,8.004983628873141e-05,2.8144244280303295e-13
